term,index,definition
valid identification number,title-26_subtitle-F_chapter-65_subchapter-B_section-6428A_subsection-g,shall include the adoption taxpayer identification number of such child.
valid identification number,title-26_subtitle-F_chapter-65_subchapter-B_section-6428B_subsection-e,means a social security number issued to an individual by the Social Security Administration on or before the due date for filing the return for the taxable year.
valid identification number,title-26_subtitle-F_chapter-65_subchapter-B_section-6428B_subsection-e,shall include the adoption taxpayer identification number of such dependent.
net unrelated loss,title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-512_subsection-b,means the net operating loss adjusted under rules similar to the rules of clause (i).
terminated,title-26_subtitle-K_chapter-100_subchapter-B_section-9818_subsection-b,"includes, with respect to a contract, the expiration or nonrenewal of the contract, but does not include a termination of the contract for failure to meet applicable quality standards or for fraud."
reacquisition,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-i,"means, with respect to any applicable debt instrument, any acquisition of the debt instrument by— (i) the debtor which issued (or is otherwise the obligor under) the debt instrument, or (ii) a related person to such debtor."
loss,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-d,means the excess of the deductions allowable under this chapter for the taxable year (determined without regard to the first sentence of subsection (a)) and allocable to an activity to which this section applies over the income received or accrued by the taxpayer during the taxable year from such activity (determined without regard to subsection (e)(1)(A)).
cash flow investment,title-26_subtitle-A_chapter-1_subchapter-M_part-IV_section-860G_subsection-a,means any investment of amounts received under qualified mortgages for a temporary period before distribution to holders of interests in the REMIC.
tax administration,title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-b,"means— (i) the administration, management, conduct, direction, and supervision of the execution and application of the internal revenue laws or related statutes (or equivalent laws and statutes of a State) and tax conventions to which the United States is a party, and (ii) the development and formulation of Federal tax policy relating to existing or proposed internal revenue laws, related statutes, and tax conventions, and (B) includes assessment, collection, enforcement, litigation, publication, and statistical gathering functions under such laws, statutes, or conventions."
allowable amount,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-470_subsection-d,means an amount equal to 20 percent of the lessor's adjusted basis in the property at the time the lease is entered into.
differently treated item,title-26_subtitle-A_chapter-1_subchapter-A_part-VI_section-59_subsection-d,means any item of tax preference or any other item which is treated differently for purposes of this part than for purposes of computing the regular tax.
personal casualty gain,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-165_subsection-h,"means the recognized gain from any involuntary conversion of property which is described in subsection (c)(3) arising from fire, storm, shipwreck, or other casualty, or from theft."
maximum enlisted amount,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-112_subsection-c,"means, for any month, the sum of— (A) the highest rate of basic pay payable for such month to any enlisted member of the Armed Forces of the United States at the highest pay grade applicable to enlisted members, and (B) in the case of an officer entitled to special pay under section 310, or paragraph (1) or (3) of section 351(a), of title 37, United States Code, for such month, the amount of such special pay payable to such officer for such month."
accelerated policyholder dividends deduction,title-26_subtitle-A_chapter-1_subchapter-L_part-I_subpart-C_section-808_subsection-f,means the amount which (but for this subsection) would be determined for the taxable year under paragraph (1) of subsection (c) but which would have been determined (under such paragraph) for a later taxable year under the business practices of the taxpayer as in effect at the close of the preceding taxable year.
deferred amount,title-26_subtitle-F_chapter-64_subchapter-C_part-II_section-6324A_subsection-e,means the aggregate amount deferred under section 6166 (determined as of the date prescribed by section 6151(a) for payment of the tax imposed by chapter 11).
qualified expenses and interest,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-e,"means any expense or interest incurred by the partnership with respect to low-income housing held by the partnership but— (i) only if the amount of such expense or interest (as the case may be) is unconditionally required to be paid by the partnership not later than 10 years after the date such amount was incurred, and (ii) in the case of such interest, only if such interest is incurred at an annual rate not in excess of 12 percent."
self-insured medical reimbursement plan,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-105_subsection-h,means a plan of an employer to reimburse employees for expenses referred to in subsection (b) for which reimbursement is not provided under a policy of accident and health insurance.
pre-2018 unused overall domestic loss,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-g,"means any overall domestic loss which— (i) arises in a qualified taxable year beginning before January 1, 2018, and (ii) has not been used under paragraph (1) for any taxable year beginning before such date."
nonrecognition provision,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-897_subsection-e,means any provision of this title for not recognizing gain or loss.
disqualified distribution,title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-355_subsection-d,"means any distribution to which this section (or so much of section 356 as relates to this section) applies if, immediately after the distribution— (A) any person holds disqualified stock in the distributing corporation which constitutes a 50-percent or greater interest in such corporation, or (B) any person holds disqualified stock in the controlled corporation (or, if stock of more than 1 controlled corporation is distributed, in any controlled corporation) which constitutes a 50-percent or greater interest in such corporation."
forgone interest,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-e,"means, with respect to any period during which the loan is outstanding, the excess of— (A) the amount of interest which would have been payable on the loan for the period if interest accrued on the loan at the applicable Federal rate and were payable annually on the day referred to in subsection (a)(2), over (B) any interest payable on the loan properly allocable to such period."
employment-related expenses,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-21_subsection-b,"means amounts paid for the following expenses, but only if such expenses are incurred to enable the taxpayer to be gainfully employed for any period for which there are 1 or more qualifying individuals with respect to the taxpayer: (i) expenses for household services, and (ii) expenses for the care of a qualifying individual."
delivery sale,title-26_subtitle-E_chapter-52_subchapter-G_section-5761_subsection-d,"means any sale of a tobacco product to a consumer if— (i) the consumer submits the order for such sale by means of a telephone or other method of voice transmission, the mail, or the Internet or other online service, or the seller is otherwise not in the physical presence of the buyer when the request for purchase or order is made, or (ii) the tobacco product is delivered by use of a common carrier, private delivery service, or the mail, or the seller is not in the physical presence of the buyer when the buyer obtains personal possession of the tobacco product."
testing date,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-m,means the earliest date on which all of the following requirements are met: (i) The indebtedness is federally-subsidized indebtedness.
hybrid transaction,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267A_subsection-c,"means any transaction, series of transactions, agreement, or instrument one or more payments with respect to which are treated as interest or royalties for purposes of this chapter and which are not so treated for purposes the tax law of the foreign country of which the recipient of such payment is resident for tax purposes or is subject to tax."
interests in real property,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-c,"includes fee ownership and co-ownership of land or improvements thereon, leaseholds of land or improvements thereon, options to acquire land or improvements thereon, and options to acquire leaseholds of land or improvements thereon, but does not include mineral, oil, or gas royalty interests."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-24_subsection-b,"means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25A_subsection-d,"means the adjusted gross income of the taxpayer for the taxable year increased by any amount excluded from gross income under section 911, 931, or 933."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25E_subsection-b,"means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30D_subsection-f,"means adjusted gross income increased by any amount excluded from gross income under section 911, 931, or 933."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-36_subsection-b,"means the adjusted gross income of the taxpayer for the taxable year increased by any amount excluded from gross income under section 911, 931, or 933."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-36B_subsection-d,"means adjusted gross income increased by— (i) any amount excluded from gross income under section 911, (ii) any amount of interest received or accrued by the taxpayer during the taxable year which is exempt from tax, and (iii) an amount equal to the portion of the taxpayer's social security benefits (as defined in section 86(d)) which is not included in gross income under section 86 for the taxable year."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-86_subsection-b,"means adjusted gross income— (A) determined without regard to this section and sections 85(c), 135, 137, 221, 911, 931, and 933, and (B) increased by the amount of interest received or accrued by the taxpayer during the taxable year which is exempt from tax."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-135_subsection-c,"means the adjusted gross income of the taxpayer for the taxable year determined— (A) without regard to this section and sections 85(c), 137, 221, 911, 931, and 933, and (B) after the application of sections 86, 469, and 219."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-m,"means adjusted gross income— (i) increased by the amount of interest received or accrued by the taxpayer during the taxable year which is excluded from gross income under section 103, and (ii) decreased by the amount of gain (if any) included in gross income of the taxpayer by reason of the disposition to which this subsection applies."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-221_subsection-b,"means adjusted gross income determined— (i) without regard to this section and sections 85(c) 1 911, 931, and 933, and (ii) after application of sections 86, 135, 137, 219, and 469."
modified adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-F_part-VIII_section-530_subsection-c,"means the adjusted gross income of the taxpayer for the taxable year increased by any amount excluded from gross income under section 911, 931, or 933."
modified adjusted gross income,title-26_subtitle-A_chapter-2_section-1411_subsection-d,"means adjusted gross income increased by the excess of— (1) the amount excluded from gross income under section 911(a)(1), over (2) the amount of any deductions (taken into account in computing adjusted gross income) or exclusions disallowed under section 911(d)(6) with respect to the amounts described in paragraph (1)."
modified adjusted gross income,title-26_subtitle-D_chapter-48_section-5000A_subsection-c,"means adjusted gross income increased by— (i) any amount excluded from gross income under section 911, and (ii) any amount of interest received or accrued by the taxpayer during the taxable year which is exempt from tax."
modified adjusted gross income,title-26_subtitle-F_chapter-65_subchapter-B_section-6433_subsection-f,"means adjusted gross income— (A) determined without regard to sections 911, 931, and 933, and (B) determined without regard to any exclusion or deduction allowed for any qualified retirement savings contribution made during the taxable year."
second segment rate,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-h,"means, with respect to any month, the single rate of interest which shall be determined by the Secretary for such month on the basis of the corporate bond yield curve for such month, taking into account only that portion of such yield curve which is based on bonds maturing during the 15-year period beginning at the end of the period described in clause (i)."
short party,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-m,"means, with respect to any underlying security of any notional principal contract, any party to the contract which is not a long party with respect to such underlying security."
permissive service credit,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-415_subsection-n,"means service credit— (i) recognized by the governmental plan for purposes of calculating a participant's benefit under the plan, (ii) which such participant has not received under such governmental plan, and (iii) which such participant may receive only by making a voluntary additional contribution, in an amount determined under such governmental plan, which does not exceed the amount necessary to fund the benefit attributable to such service credit."
correction amount,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25_subsection-f,means an amount equal to the excess credit amount divided by 0.
distribution right,title-26_subtitle-B_chapter-14_section-2701_subsection-c,"means— (i) a right to distributions from a corporation with respect to its stock, and (ii) a right to distributions from a partnership with respect to a partner's interest in the partnership."
distribution right,title-26_subtitle-B_chapter-14_section-2701_subsection-c,"does not include— (i) a right to distributions with respect to any interest which is junior to the rights of the transferred interest, (ii) any liquidation, put, call, or conversion right, or (iii) any right to receive any guaranteed payment described in section 707(c) of a fixed amount."
eligible rollover distribution,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,meaning given such term by section 402(f)(2)(A).
eligible rollover distribution,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402_subsection-c,"means any distribution to an employee of all or any portion of the balance to the credit of the employee in a qualified trust; except that such term shall not include— (A) any distribution which is one of a series of substantially equal periodic payments (not less frequently than annually) made— (i) for the life (or life expectancy) of the employee or the joint lives (or joint life expectancies) of the employee and the employee's designated beneficiary, or (ii) for a specified period of 10 years or more, (B) any distribution to the extent such distribution is required under section 401(a)(9), and (C) any distribution which is made upon hardship of the employee."
eligible rollover distribution,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402_subsection-f,"meaning as when used in subsection (c) of this section, paragraph (4) of section 403(a), subparagraph (A) of section 403(b)(8), or subparagraph (A) of section 457(e)(16)."
eligible rollover distribution,title-26_subtitle-C_chapter-24_section-3405_subsection-c,meaning given such term by section 402(f)(2)(A).
base amount,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-c,"means the product of— (A) the fixed-base percentage, and (B) the average annual gross receipts of the taxpayer for the 4 taxable years preceding the taxable year for which the credit is being determined (hereinafter in this subsection referred to as the ""credit year"")."
base amount,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-86_subsection-c,"means— (A) except as otherwise provided in this paragraph, $25,000, (B) $32,000 in the case of a joint return, and (C) zero in the case of a taxpayer who— (i) is married as of the close of the taxable year (within the meaning of section 7703) but does not file a joint return for such year, and (ii) does not live apart from his spouse at all times during the taxable year."
base amount,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-280G_subsection-b,means the individual's annualized includible compensation for the base period.
base amount,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-j,"means, with respect to any quarter, an amount equal to 3 times the sum of the adjusted disbursements from the plan for the 12 months ending on the last day of such quarter."
base amount,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-433_subsection-f,"means, with respect to any quarter, an amount equal to 3 times the sum of the adjusted disbursements from the plan for the 12 months ending on the last day of such quarter."
base amount,title-26_subtitle-F_chapter-77_section-7530_subsection-a,"means the greater of— (I) the cost to Puerto Rico of the earned income tax credit for taxable years beginning in or with calendar year 2019 (rounded to the nearest multiple of $1,000,000), or (II) $200,000,000."
base amount,title-26_subtitle-F_chapter-77_section-7530_subsection-a,"means the dollar amount determined under clause (i) increased by an amount equal to— (I) such dollar amount, multiplied by— (II) the cost-of-living adjustment determined under section 1(f)(3) for such calendar year, determined by substituting ""calendar year 2020"" for ""calendar year 2016"" in subparagraph (A)(ii) thereof."
employee discount,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-132_subsection-c,"means the amount by which— (A) the price at which the property or services are provided by the employer to an employee for use by such employee, is less than (B) the price at which such property or services are being offered by the employer to customers."
basis difference,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-901_subsection-m,"means, with respect to any relevant foreign asset, the excess of— (I) the adjusted basis of such asset immediately after the covered asset acquisition, over (II) the adjusted basis of such asset immediately before the covered asset acquisition."
cash settlement option,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1234_subsection-c,means any option which on exercise settles in (or could be settled in) cash or property other than the underlying property.
years of service,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402_subsection-g,meaning given such term by section 403(b).
years of service,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-411_subsection-b,meaning provided by section 410(a)(3)(A).
nonallocation year,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-409_subsection-p,"means any plan year of an employee stock ownership plan if, at any time during such plan year— (i) such plan holds employer securities consisting of stock in an S corporation, and (ii) disqualified persons own at least 50 percent of the number of shares of stock in the S corporation."
ruling amount,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-468A_subsection-d,"means, with respect to any taxable year, the amount which the Secretary determines under paragraph (1) to be necessary to— (A) fund the total nuclear decommissioning costs with respect to such power plant over the estimated useful life of such power plant, and (B) prevent any excessive funding of such costs or the funding of such costs at a rate more rapid than level funding, taking into account such discount rates as the Secretary deems appropriate."
structured settlement factoring transaction,title-26_subtitle-E_chapter-55_section-5891_subsection-c,"means a transfer of structured settlement payment rights (including portions of structured settlement payments) made for consideration by means of sale, assignment, pledge, or other form of encumbrance or alienation for consideration."
excess aggregate contributions,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-m,"means, with respect to any plan year, the excess of— (i) the aggregate amount of the matching contributions and employee contributions (and any qualified nonelective contribution or elective contribution taken into account in computing the contribution percentage) actually made on behalf of highly compensated employees for such plan year, over (ii) the maximum amount of such contributions permitted under the limitations of paragraph (2)(A) (determined by reducing contributions made on behalf of highly compensated employees in order of their contribution percentages beginning with the highest of such percentages)."
contract commencement date,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-460_subsection-g,"means, with respect to any contract, the first date on which any costs (other than bidding expenses or expenses incurred in connection with negotiating the contract) allocable to such contract are incurred."
eligible long-term care premiums,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-213_subsection-d,"means the amount paid during a taxable year for any qualified long-term care insurance contract (as defined in section 7702B(b)) covering an individual, to the extent such amount does not exceed the limitation determined under the following table: (B) Indexing."
applicable section,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-t,"means section 79, 106, 117(d), 125, 127, 129, 132, 137, 274(j), 505, or 4980B."
designated summons,title-26_subtitle-F_chapter-66_subchapter-A_section-6503_subsection-j,"means any summons issued for purposes of determining the amount of any tax imposed by this title if— (i) the issuance of such summons is preceded by a review and written approval of such issuance by the Commissioner of the relevant operating division of the Internal Revenue Service and the Chief Counsel which— (I) states facts clearly establishing that the Secretary has made reasonable requests for the information that is the subject of the summons, and (II) is attached to such summons, (ii) such summons is issued at least 60 days before the day on which the period prescribed in section 6501 for the assessment of such tax expires (determined with regard to extensions), and (iii) such summons clearly states that it is a designated summons for purposes of this subsection."
reported item,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6034A_subsection-c,means any item for which information is required to be furnished under subsection (a).
distributed amount,title-26_subtitle-D_chapter-44_section-4981_subsection-c,"means, with respect to any calendar year, the sum of— (A) the deduction for dividends paid (as defined in section 561) during such calendar year (but computed without regard to that portion of such deduction which is attributable to the amount excluded under section 857(b)(2)(D)), and (B) any amount on which tax is imposed under subsection (b)(1) or (b)(3)(A) 1 of section 857 for any taxable year ending in such calendar year."
distributed amount,title-26_subtitle-D_chapter-44_section-4982_subsection-c,"means, with respect to any calendar year, the sum of— (A) the deduction for dividends paid (as defined in section 561) during such calendar year, and (B) any amount on which tax is imposed under subsection (b)(1) or (b)(3)(A) of section 852 for any taxable year ending in such calendar year."
qualified replacement property,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-c,"means any security issued by a domestic operating corporation which— (i) did not, for the taxable year preceding the taxable year in which such security was purchased, have passive investment income (as defined in section 1362(d)(3)(C)) in excess of 25 percent of the gross receipts of such corporation for such preceding taxable year, and (ii) is not the corporation which issued the qualified securities which such security is replacing or a member of the same controlled group of corporations (within the meaning of section 1563(a)(1)) as such corporation."
qualified replacement property,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-e,"means any real property which is— (I) acquired in an exchange which qualifies under section 1031, or (II) the acquisition of which results in the nonrecognition of gain under section 1033."
qualified replacement property,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-h,"means— (i) in the case of an involuntary conversion described in section 1033(a)(1), any real property into which the qualified real property is converted, or (ii) in the case of an involuntary conversion described in section 1033(a)(2), any real property purchased by the qualified heir during the period specified in section 1033(a)(2)(B) for purposes of replacing the qualified real property."
taxable expenditure,title-26_subtitle-D_chapter-42_subchapter-A_section-4945_subsection-d,"means any amount paid or incurred by a private foundation— (1) to carry on propaganda, or otherwise to attempt, to influence legislation, within the meaning of subsection (e), (2) except as provided in subsection (f), to influence the outcome of any specific public election, or to carry on, directly or indirectly, any voter registration drive, (3) as a grant to an individual for travel, study, or other similar purposes by such individual, unless such grant satisfies the requirements of subsection (g), (4) as a grant to an organization unless— (A) such organization— (i) is described in paragraph (1) or (2) of section 509(a), (ii) is an organization described in section 509(a)(3) (other than an organization described in clause (i) or (ii) of section 4942(g)(4)(A)), or (iii) is an exempt operating foundation (as defined in section 4940(d)(2)), or (B) the private foundation exercises expenditure responsibility with respect to such grant in accordance with subsection (h), or (5) for any purpose other than one specified in section 170(c)(2)(B)."
taxable expenditure,title-26_subtitle-D_chapter-42_subchapter-A_section-4945_subsection-e,"means any amount paid or incurred by a private foundation for— (1) any attempt to influence any legislation through an attempt to affect the opinion of the general public or any segment thereof, and (2) any attempt to influence legislation through communication with any member or employee of a legislative body, or with any other government official or employee who may participate in the formulation of the legislation (except technical advice or assistance provided to a governmental body or to a committee or other subdivision thereof in response to a written request by such body or subdivision, as the case may be), other than through making available the results of nonpartisan analysis, study, or research."
taxable expenditure,title-26_subtitle-D_chapter-42_subchapter-B_section-4952_subsection-d,means any amount paid or incurred by a trust described in section 501(c)(21) other than for a purpose specified in such section.
taxable year,title-26_subtitle-A_chapter-1_subchapter-E_part-I_section-441_subsection-b,"means— (1) the taxpayer's annual accounting period, if it is a calendar year or a fiscal year; (2) the calendar year, if subsection (g) applies; (3) the period for which the return is made, if a return is made for a period of less than 12 months; or (4) in the case of a DISC filing a return for a period of at least 12 months, the period determined under subsection (h)."
taxable year,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"means the calendar year, or the fiscal year ending during such calendar year, upon the basis of which the taxable income is computed under subtitle A."
applicable nontaxable contribution,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-w,"means any employer or employee contribution— (A) which was made with respect to compensation— (i) for labor or personal services performed by an employee who, at the time the labor or services were performed, was a nonresident alien for purposes of the laws of the United States in effect at such time, and (ii) which is treated as from sources without the United States, and (B) which was not subject to income tax (and would have been subject to income tax if paid as cash compensation when the services were rendered) under the laws of the United States or any foreign country."
aggregate foreign cash position,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-c,"means, with respect to any United States shareholder, the greater of— (i) the aggregate of such United States shareholder's pro rata share of the cash position of each specified foreign corporation of such United States shareholder determined as of the close of the last taxable year of such specified foreign corporation which begins before January 1, 2018, or (ii) one half of the sum of— (I) the aggregate described in clause (i) determined as of the close of the last taxable year of each such specified foreign corporation which ends before November 2, 2017, plus (II) the aggregate described in clause (i) determined as of the close of the taxable year of each such specified foreign corporation which precedes the taxable year referred to in subclause (I)."
accumulated deductible employee contributions,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-o,"means the deductible employee contributions— (i) increased by the amount of income and gain allocable to such contributions, and (ii) reduced by the sum of the amount of loss and expense allocable to such contributions and the amounts distributed with respect to the employee which are attributable to such contributions (or income or gain allocable to such contributions)."
local advertising,title-26_subtitle-D_chapter-32_subchapter-F_section-4216_subsection-e,"means only advertising which— (A) is initiated or obtained by the purchaser or any subsequent vendee, (B) names the article for which the price is determinable under this section and states the location at which such article may be purchased at retail, and (C) is broadcast over a radio station or television station, appears in a newspaper or magazine, or is displayed by means of an outdoor advertising sign or poster."
qualified business income,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-c,"means, for any taxable year, the net amount of qualified items of income, gain, deduction, and loss with respect to any qualified trade or business of the taxpayer."
terminal rental adjustment clause,title-26_subtitle-F_chapter-79_section-7701_subsection-h,means a provision of an agreement which permits or requires the rental price to be adjusted upward or downward by reference to the amount realized by the lessor under the agreement upon sale or other disposition of such property.
terminal rental adjustment clause,title-26_subtitle-F_chapter-79_section-7701_subsection-h,includes a provision of an agreement which requires a lessee who is a dealer in motor vehicles to purchase the motor vehicle for a predetermined price and then resell such vehicle where such provision achieves substantially the same results as a provision described in subparagraph (A).
adjusted gross income,title-26_subtitle-A_chapter-1_subchapter-B_part-I_section-62_subsection-a,"means, in the case of an individual, gross income minus the following deductions: (1) Trade and business deductions The deductions allowed by this chapter (other than by part VII of this subchapter) which are attributable to a trade or business carried on by the taxpayer, if such trade or business does not consist of the performance of services by the taxpayer as an employee."
undistributed personal holding company income,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-545_subsection-a,"means the taxable income of a personal holding company adjusted in the manner provided in subsections (b), (c), and (d), minus the dividends paid deduction as defined in section 561."
undistributed personal holding company income,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-545_subsection-a,means the amount determined by multiplying the undistributed personal holding company income (determined without regard to this sentence) by the percentage in value of its outstanding stock which is the greatest percentage in value of its outstanding stock so owned by United States persons on any one day during such period.
domestic oil and gas extraction income,title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-250_subsection-b,"means income described in section 907(c)(1), determined by substituting ""within the United States"" for ""without the United States""."
service not in the course of the employer's trade or business,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-a,"does not include domestic service in a private home of the employer and does not include service described in subsection (g)(5); (8)(A) remuneration paid in any medium other than cash for agricultural labor; (B) cash remuneration paid by an employer in any calendar year to an employee for agricultural labor unless— (i) the cash remuneration paid in such year by the employer to the employee for such labor is $150 or more, or (ii) the employer's expenditures for agricultural labor in such year equal or exceed $2,500, [(9) Repealed."
expenditures,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-271_subsection-b,"includes a payment, distribution, loan, advance, deposit, or gift, of money, or anything of value, and includes a contract, promise, or agreement to make an expenditure, whether or not legally enforceable."
expenditures,title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-e,meaning given to such term by section 271(b)(3).
expenditures,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-857_subsection-b,does not include advances on a loan made by the trust.
winnings which are subject to withholding,title-26_subtitle-C_chapter-24_section-3402_subsection-q,"means proceeds from a wager determined in accordance with the following: (A) In general Except as provided in subparagraphs (B) and (C), proceeds of more than $5,000 from a wagering transaction, if the amount of such proceeds is at least 300 times as large as the amount wagered."
applicable interest rate,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-417_subsection-e,"means the adjusted first, second, and third segment rates applied under rules similar to the rules of section 430(h)(2)(C) (determined by not taking into account any adjustment under clause (iv) thereof) for the month before the date of the distribution or such other time as the Secretary may by regulations prescribe."
applicable interest rate,title-26_subtitle-A_chapter-1_subchapter-L_part-II_section-832_subsection-b,means the annual rate determined under 846(c)(2) for the calendar year in which the premiums are received.
amount loaned,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-f,means the amount received by the borrower.
qualified offer,title-26_subtitle-F_chapter-76_subchapter-B_section-7430_subsection-g,"means a written offer which— (A) is made by the taxpayer to the United States during the qualified offer period; (B) specifies the offered amount of the taxpayer's liability (determined without regard to interest); (C) is designated at the time it is made as a qualified offer for purposes of this section; and (D) remains open during the period beginning on the date it is made and ending on the earliest of the date the offer is rejected, the date the trial begins, or the 90th day after the date the offer is made."
carryback,title-26_subtitle-A_chapter-1_subchapter-V_section-1398_subsection-j,means a net operating loss carryback under section 172 or a carryback of any credit provided by part IV of subchapter A.
non-readily-tradable stock,title-26_subtitle-F_chapter-62_subchapter-B_section-6166_subsection-b,"means stock for which, at the time of the decedent's death, there was no market on a stock exchange or in an over-the-counter market."
qualified percentage,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-k,"means, with respect to any employee, any percentage determined under the arrangement if such percentage is applied uniformly, does not exceed 15 percent (10 percent during the period described in subclause (I)), and is at least— (I) 3 percent during the period ending on the last day of the first plan year which begins after the date on which the first elective contribution described in clause (i) is made with respect to such employee, (II) 4 percent during the first plan year following the plan year described in subclause (I), (III) 5 percent during the second plan year following the plan year described in subclause (I), and (IV) 6 percent during any subsequent plan year."
qualified percentage,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-k,"means, with respect to any employee, any percentage determined under the arrangement if such percentage is applied uniformly and is not less than 3 or more than 15 percent."
qualified percentage,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-403_subsection-b,"means, with respect to any employee, any percentage determined under the plan if such percentage is applied uniformly and is not less than 3 or more than 15 percent."
gross investment income,title-26_subtitle-A_chapter-1_subchapter-F_part-II_section-509_subsection-e,"means the gross amount of income from interest, dividends, payments with respect to securities loans (as defined in section 512(a)(5)), rents, and royalties, but not including any such income to the extent included in computing the tax imposed by section 511."
