term,index,definition
local government,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-l,meaning given such term by section 1393(a)(5).
local government,title-26_subtitle-A_chapter-1_subchapter-U_part-I_section-1393_subsection-a,"means— (A) any county, city, town, township, parish, village, or other general purpose political subdivision of a State, and (B) any combination of political subdivisions described in subparagraph (A) recognized by the appropriate Secretary."
participating payee,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050W_subsection-d,"means— (i) in the case of a payment card transaction, any person who accepts a payment card as payment, and (ii) in the case of a third party network transaction, any person who accepts payment from a third party settlement organization in settlement of such transaction."
farm land,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1252_subsection-a,means any land with respect to which deductions have been allowed under section 175 (relating to soil and water conservation expenditures).
firearm,title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-a,"means (1) a shotgun having a barrel or barrels of less than 18 inches in length; (2) a weapon made from a shotgun if such weapon as modified has an overall length of less than 26 inches or a barrel or barrels of less than 18 inches in length; (3) a rifle having a barrel or barrels of less than 16 inches in length; (4) a weapon made from a rifle if such weapon as modified has an overall length of less than 26 inches or a barrel or barrels of less than 16 inches in length; (5) any other weapon, as defined in subsection (e); (6) a machinegun; (7) any silencer (as defined in section 921 of title 18, United States Code); and (8) a destructive device."
firearm,title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-a,"shall not include an antique firearm or any device (other than a machinegun or destructive device) which, although designed as a weapon, the Secretary finds by reason of the date of its manufacture, value, design, and other characteristics is primarily a collector's item and is not likely to be used as a weapon."
qualified military installation,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-d,"means any military installation or facility the number of members of the Armed Forces of the United States assigned to which, as of June 1, 2008, is not less than 1,000."
commodities trader,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1258_subsection-d,"means any person who is a member (or, except as otherwise provided in regulations, is entitled to trade as a member) of a domestic board of trade which is designated as a contract market by the Commodity Futures Trading Commission."
lodging facility,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-d,"means a— (I) hotel, (II) motel, or (III) other establishment more than one-half of the dwelling units in which are used on a transient basis."
lodging facility,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-d,"includes customary amenities and facilities operated as part of, or associated with, the lodging facility so long as such amenities and facilities are customary for other properties of a comparable size and class owned by other owners unrelated to such real estate investment trust."
lodging facility,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-l,meaning given to such term by subsection (d)(9)(D)(ii).
501(c)(3) organization,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-C_section-150_subsection-a,means any organization described in section 501(c)(3) and exempt from tax under section 501(a).
qualified foster individual,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-131_subsection-b,"means any individual who is living in a foster family home in which such individual was placed by— (A) an agency of a State or political subdivision thereof, or (B) a qualified foster care placement agency."
qualifying small wind turbine,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-c,means a wind turbine which has a nameplate capacity of not more than 100 kilowatts.
security,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-165_subsection-g,"means— (A) a share of stock in a corporation; (B) a right to subscribe for, or to receive, a share of stock in a corporation; or (C) a bond, debenture, note, or certificate, or other evidence of indebtedness, issued by a corporation or by a government or political subdivision thereof, with interest coupons or in registered form."
security,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-D_section-475_subsection-c,"means any— (A) share of stock in a corporation; (B) partnership or beneficial ownership interest in a widely held or publicly traded partnership or trust; (C) note, bond, debenture, or other evidence of indebtedness; (D) interest rate, currency, or equity notional principal contract; (E) evidence of an interest in, or a derivative financial instrument in, any security described in subparagraph (A), (B), (C), or (D), or any currency, including any option, forward contract, short position, and any similar financial instrument in such a security or currency; and (F) position which— (i) is not a security described in subparagraph (A), (B), (C), (D), or (E), (ii) is a hedge with respect to such a security, and (iii) is clearly identified in the dealer's records as being described in this subparagraph before the close of the day on which it was acquired or entered into (or such other time as the Secretary may by regulations prescribe)."
security,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-c,"meaning given such term by section 165(g)(2), except that such term shall not include any security issued by a government or political subdivision thereof."
security,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1236_subsection-c,"means any share of stock in any corporation, certificate of stock or interest in any corporation, note, bond, debenture, or evidence of indebtedness, or any evidence of an interest in or right to subscribe to or purchase any of the foregoing."
security,title-26_subtitle-D_chapter-43_section-4975_subsection-f,meaning given such term by section 475(c)(2) (without regard to subparagraph (F)(iii) and the last sentence thereof).
security,title-26_subtitle-F_chapter-64_subchapter-C_part-II_section-6323_subsection-h,"means any bond, debenture, note, or certificate or other evidence of indebtedness, issued by a corporation or a government or political subdivision thereof, with interest coupons or in registered form, share of stock, voting trust certificate, or any certificate of interest or participation in, certificate of deposit or receipt for, temporary or interim certificate for, or warrant or right to subscribe to or purchase, any of the foregoing; negotiable instrument; or money."
applicable family member,title-26_subtitle-B_chapter-14_section-2701_subsection-b,includes any lineal descendant of any parent of the transferor or the transferor's spouse.
applicable family member,title-26_subtitle-B_chapter-14_section-2701_subsection-e,"means, with respect to any transferor— (A) the transferor's spouse, (B) an ancestor of the transferor or the transferor's spouse, and (C) the spouse of any such ancestor."
qualified employee-owner,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-h,"means any individual who is an employee-owner of the corporation (as defined in section 269A(b)(2)) and who is a writer, photographer, or artist."
commercial vessel,title-26_subtitle-D_chapter-36_subchapter-A_section-4462_subsection-a,"means any vessel used— (i) in transporting cargo by water for compensation or hire, or (ii) in transporting cargo by water in the business of the owner, lessee, or operator of the vessel."
commercial vessel,title-26_subtitle-D_chapter-36_subchapter-A_section-4462_subsection-a,"does not include any ferry engaged primarily in the ferrying of passengers (including their vehicles) between points within the United States, or between the United States and contiguous countries."
qualified business entity,title-26_subtitle-A_chapter-1_subchapter-U_part-III_subpart-D_section-1397C_subsection-b,"means, with respect to any taxable year, any corporation or partnership if for such year— (1) every trade or business of such entity is the active conduct of a qualified business within an empowerment zone, (2) at least 50 percent of the total gross income of such entity is derived from the active conduct of such business, (3) a substantial portion of the use of the tangible property of such entity (whether owned or leased) is within an empowerment zone, (4) a substantial portion of the intangible property of such entity is used in the active conduct of any such business, (5) a substantial portion of the services performed for such entity by its employees are performed in an empowerment zone, (6) at least 35 percent of its employees are residents of an empowerment zone, (7) less than 5 percent of the average of the aggregate unadjusted bases of the property of such entity is attributable to collectibles (as defined in section 408(m)(2)) other than collectibles that are held primarily for sale to customers in the ordinary course of such business, and (8) less than 5 percent of the average of the aggregate unadjusted bases of the property of such entity is attributable to nonqualified financial property."
officer or employee,title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-a,includes a former officer or employee.
officer or employee,title-26_subtitle-F_chapter-61_subchapter-B_section-6109_subsection-f,includes a former officer or employee.
officer or employee,title-26_subtitle-F_chapter-61_subchapter-B_section-6109_subsection-g,includes a former officer or employee.
lending or finance business,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-542_subsection-d,"means a business of— (i) making loans, (ii) purchasing or discounting accounts receivable, notes, or installment obligations, (iii) rendering services or making facilities available in connection with activities described in clauses (i) and (ii) carried on by the corporation rendering services or making facilities available, or (iv) rendering services or making facilities available to another corporation which is engaged in the lending or finance business (within the meaning of this paragraph), if such services or facilities are related to the lending or finance business (within such meaning) of such other corporation and such other corporation and the corporation rendering services or making facilities available are members of the same affiliated group (as defined in section 1504)."
lending or finance business,title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-542_subsection-d,"does not include the business of— (i) making loans, or purchasing or discounting accounts receivable, notes, or installment obligations, if (at the time of the loan, purchase, or discount) the remaining maturity exceeds 144 months; unless— (I) the loans, notes, or installment obligations are evidenced or secured by contracts of conditional sale, chattel mortgages, or chattel lease agreements arising out of the sale of goods or services in the course of the borrower's or transferor's trade or business, or (II) the loans, notes, or installment obligations are made or acquired by the taxpayer and meet the requirements of subparagraph (C), or (ii) making loans evidenced by, or purchasing, certificates of indebtedness issued in a series, under a trust indenture, and in registered form or with interest coupons attached."
lending or finance business,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-954_subsection-h,"means the business of— (A) making loans, (B) purchasing or discounting accounts receivable, notes, or installment obligations, (C) engaging in leasing (including entering into leases and purchasing, servicing, and disposing of leases and leased assets), (D) issuing letters of credit or providing guarantees, (E) providing charge and credit card services, or (F) rendering services or making facilities available in connection with activities described in subparagraphs (A) through (E) carried on by— (i) the corporation (or qualified business unit) rendering services or making facilities available, or (ii) another corporation (or qualified business unit of a corporation) which is a member of the same affiliated group (as defined in section 1504, but determined without regard to section 1504(b)(3))."
alcohol,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40_subsection-d,"includes methanol and ethanol but does not include— (i) alcohol produced from petroleum, natural gas, or coal (including peat), or (ii) alcohol with a proof of less than 150."
alcohol,title-26_subtitle-F_chapter-65_subchapter-B_section-6426_subsection-b,"includes methanol and ethanol but does not include— (i) alcohol produced from petroleum, natural gas, or coal (including peat), or (ii) alcohol with a proof of less than 190 (determined without regard to any added denaturants)."
designated drug,title-26_subtitle-D_chapter-50_section-5000D_subsection-e,"means any negotiation-eligible drug (as defined in section 1192(d) of the Social Security Act) included on the list published under section 1192(a) of such Act which is manufactured or produced in the United States or entered into the United States for consumption, use, or warehousing."
targeted area residence,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-j,"means a residence in an area which is either— (A) a qualified census tract, or (B) an area of chronic economic distress."
intercity or local bus,title-26_subtitle-D_chapter-32_subchapter-G_section-4221_subsection-d,"means any automobile bus which is used predominantly in furnishing (for compensation) passenger land transportation available to the general public if— (i) such transportation is scheduled and along regular routes, or (ii) the seating capacity of such bus is at least 20 adults (not including the driver)."
covered corporation,title-26_subtitle-D_chapter-37_section-4501_subsection-b,means any domestic corporation the stock of which is traded on an established securities market (within the meaning of section 7704(b)(1)).
broker,title-26_subtitle-C_chapter-24_section-3406_subsection-h,meaning given to such term by section 6045(c)(1).
broker,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6045_subsection-c,"includes— (A) a dealer, (B) a barter exchange, (C) any person who (for consideration) regularly acts as a middleman with respect to property or services, and (D) any person who (for consideration) is responsible for regularly providing any service effectuating transfers of digital assets on behalf of another person."
paperback,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-458_subsection-b,means any book which has a flexible outer cover and the pages of which are affixed directly to such outer cover.
foreign related person,title-26_subtitle-F_chapter-80_subchapter-C_section-7874_subsection-d,"means, with respect to any expatriated entity, a foreign person which— (A) is related (within the meaning of section 267(b) or 707(b)(1)) to such entity, or (B) is under the same common control (within the meaning of section 482) as such entity."
single-employer plan,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-B_section-436_subsection-l,means a plan which is not a multiemployer plan.
principal stockholder,title-26_subtitle-A_chapter-6_subchapter-B_part-II_section-1563_subsection-c,"means an individual who owns (within the meaning of subsection (d)(2)) 5 percent or more of the total combined voting power of all classes of stock entitled to vote or 5 percent or more of the total value of shares of all classes of stock in such corporation, (iii) stock in the subsidiary corporation owned (within the meaning of subsection (d)(2)) by an employee of the subsidiary corporation if such stock is subject to conditions which run in favor of such parent (or subsidiary) corporation and which substantially restrict or limit the employee's right (or if the employee constructively owns such stock, the direct owner's right) to dispose of such stock, or (iv) stock in the subsidiary corporation owned (within the meaning of subsection (d)(2)) by an organization (other than the parent corporation) to which section 501 (relating to certain educational and charitable organizations which are exempt from tax) applies and which is controlled directly or indirectly by the parent corporation or subsidiary corporation, by an individual, estate, or trust that is a principal stockholder (within the meaning of clause (ii)) of the parent corporation, by an officer of the parent corporation, or by any combination thereof."
tax-exempt eligible small employer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45R_subsection-f,means an eligible small employer which is any organization described in section 501(c) which is exempt from taxation under section 501(a).
20-percent controlled entity,title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-355_subsection-g,"means, with respect to any distributing or controlled corporation, any corporation with respect to which the distributing or controlled corporation owns directly or indirectly stock meeting the requirements of section 1504(a)(2), except that such section shall be applied by substituting ""20 percent"" for ""80 percent"" and without regard to stock described in section 1504(a)(4)."
qualified performing artist,title-26_subtitle-A_chapter-1_subchapter-B_part-I_section-62_subsection-b,"means, with respect to any taxable year, any individual if— (A) such individual performed services in the performing arts as an employee during the taxable year for at least 2 employers, (B) the aggregate amount allowable as a deduction under section 162 in connection with the performance of such services exceeds 10 percent of such individual's gross income attributable to the performance of such services, and (C) the adjusted gross income of such individual for the taxable year (determined without regard to subsection (a)(2)(B)) does not exceed $16,000."
qualified campus lodging,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-119_subsection-d,"means lodging to which subsection (a) does not apply and which is— (A) located on, or in the proximity of, a campus of the educational institution, and (B) furnished to the employee, his spouse, and any of his dependents by or on behalf of such institution for use as a residence."
premises,title-26_subtitle-D_chapter-38_subchapter-A_section-4612_subsection-a,meaning as when used for purposes of determining gross income from the property under section 613.
entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-269B_subsection-c,"means any corporation, partnership, trust, association, estate, or other form of carrying on a business or activity."
entity,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-302_subsection-c,"means a partnership, estate, trust, or corporation; and (II)"
specified student,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-32_subsection-n,"means, with respect to any taxable year, an individual who is an eligible student (as defined in section 25A(b)(3)) during at least 5 calendar months during the taxable year."
10-percent shareholder,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-h,"means— (i) in the case of an obligation issued by a corporation, any person who owns 10 percent or more of the total combined voting power of all classes of stock of such corporation entitled to vote, or (ii) in the case of an obligation issued by a partnership, any person who owns 10 percent or more of the capital or profits interest in such partnership."
10-percent shareholder,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-k,meaning given such term by subsection (h)(3)(B).
10-percent owned foreign corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-J_section-988_subsection-a,means any foreign corporation in which the United States person owns directly or indirectly at least 10 percent of the voting stock.
qualified small business,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-h,"means, with respect to any taxable year— (i) a corporation or partnership, if— (I) the gross receipts (as determined under the rules of section 448(c)(3), without regard to subparagraph (A) thereof) of such entity for the taxable year is less than $5,000,000, and (II) such entity did not have gross receipts (as so determined) for any taxable year preceding the 5-taxable-year period ending with such taxable year, and (ii) any person (other than a corporation or partnership) who meets the requirements of subclauses (I) and (II) of clause (i), determined— (I) by substituting ""person"" for ""entity"" each place it appears, and (II) by only taking into account the aggregate gross receipts received by such person in carrying on all trades or businesses of such person."
qualified small business,title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-d,"means any domestic corporation which is a C corporation if— (A) the aggregate gross assets of such corporation (or any predecessor thereof) at all times on or after the date of the enactment of the Revenue Reconciliation Act of 1993 and before the issuance did not exceed $50,000,000, (B) the aggregate gross assets of such corporation immediately after the issuance (determined by taking into account amounts received in the issuance) do not exceed $50,000,000, and (C) such corporation agrees to submit such reports to the Secretary and to shareholders as the Secretary may require to carry out the purposes of this section."
advanced nuclear facility,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45J_subsection-d,"means any nuclear facility the reactor design for which is approved after December 31, 1993, by the Nuclear Regulatory Commission (and such design or a substantially similar design of comparable capacity was not approved on or before such date)."
electing real property trade or business,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-j,means any trade or business which is described in section 469(c)(7)(C) and which makes an election under this subparagraph.
applicable financial entity,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050P_subsection-c,"means— (A) any financial institution described in section 581 or 591(a) and any credit union, (B) the Federal Deposit Insurance Corporation, the Resolution Trust Corporation, the National Credit Union Administration, and any other Federal executive agency (as defined in section 6050M), and any successor or subunit of any of the foregoing, (C) any other corporation which is a direct or indirect subsidiary of an entity referred to in subparagraph (A) but only if, by virtue of being affiliated with such entity, such other corporation is subject to supervision and examination by a Federal or State agency which regulates entities referred to in subparagraph (A), and (D) any organization a significant trade or business of which is the lending of money."
specified agricultural chemical,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45O_subsection-f,"means— (1) any fertilizer commonly used in agricultural operations which is listed under— (A) section 302(a)(2) of the Emergency Planning and Community Right-to-Know Act of 1986, (B) section 101 of part 172 of title 49, Code of Federal Regulations, or (C) part 126, 127, or 154 of title 33, Code of Federal Regulations, and (2) any pesticide (as defined in section 2(u) of the Federal Insecticide, Fungicide, and Rodenticide Act), including all active and inert ingredients thereof, which is customarily used on crops grown for food, feed, or fiber."
terminal railroad corporation,title-26_subtitle-A_chapter-1_subchapter-B_part-X_section-281_subsection-d,"means a domestic railroad corporation which is not a member, other than as a common parent corporation, of an affiliated group (as defined in section 1504) and— (A) all of the shareholders of which are rail carriers subject to part A of subtitle IV of title 49; (B) the primary business of which is the providing of railroad terminal and switching facilities and services to rail carriers subject to part A of subtitle IV of title 49 and to the shippers and passengers of such railroad corporations; (C) a substantial part of the services of which for the taxable year is rendered to one or more of its shareholders; and (D) each shareholder of which computes its taxable income on the basis of a taxable year beginning or ending on the same day that the taxable year of"
wrongfully incarcerated individual,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-139F_subsection-b,"means an individual— (1) who was convicted of a covered offense, (2) who served all or part of a sentence of imprisonment relating to that covered offense, and (3)(A) who was pardoned, granted clemency, or granted amnesty for that covered offense because that individual was innocent of that covered offense, or (B)(i) for whom the judgment of conviction for that covered offense was reversed or vacated, and (ii) for whom the indictment, information, or other accusatory instrument for that covered offense was dismissed or who was found not guilty at a new trial after the judgment of conviction for that covered offense was reversed or vacated."
qualified plan award,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-274_subsection-j,means an employee achievement award awarded as part of an established written plan or program of the taxpayer which does not discriminate in favor of highly compensated employees (within the meaning of section 414(q)) as to eligibility or benefits.
motion picture project worker,title-26_subtitle-C_chapter-25_section-3512_subsection-b,means any individual who provides services on motion picture projects for clients who are not affiliated with the motion picture project employer.
relative of the taxpayer,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-g,"means an individual who, with respect to the taxpayer, bears any of the relationships described in subparagraphs (A) through (G) of section 152(d)(2)."
plan administrator,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-g,means— (1) the person specifically so designated by
plan administrator,title-26_subtitle-C_chapter-24_section-3405_subsection-e,meaning given such term by section 414(g).
plan administrator,title-26_subtitle-D_chapter-43_section-4980B_subsection-g,meaning given
foreign gift,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6039F_subsection-b,means any amount received from a person other than a United States person which the recipient treats as a gift or bequest.
qualifying brownfield property,title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-512_subsection-b,"means any real property which is certified, before the taxpayer incurs any eligible remediation expenditures (other than to obtain a Phase I environmental site assessment), by an appropriate State agency (within the meaning of section 198(c)(4)) in the State in which such property is located as a brownfield site within the meaning of section 101(39) of the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 (as in effect on the date of the enactment of this paragraph)."
vessels,title-26_subtitle-D_chapter-32_subchapter-G_section-4221_subsection-d,"includes civil aircraft employed in foreign trade or trade between the United States and any of its possessions, and"
executor,title-26_subtitle-B_chapter-11_subchapter-C_section-2203,"means the executor or administrator of the decedent, or, if there is no executor or administrator appointed, qualified, and acting within the United States, then any person in actual or constructive possession of any property of the decedent."
executor,title-26_subtitle-B_chapter-13_subchapter-F_section-2652_subsection-d,meaning given such term by section 2203.
executor,title-26_subtitle-F_chapter-71_section-6905_subsection-b,"means the executor or administrator of the decedent appointed, qualified, and acting within the United States."
coal,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48A_subsection-c,"means anthracite, bituminous coal, subbituminous coal, lignite, and peat."
coal,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48B_subsection-c,"means anthracite, bituminous coal, subbituminous coal, lignite, and peat."
coal,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-o,"means anthracite, bituminous coal, subbituminous coal, lignite, and peat."
manufacturer,title-26_subtitle-D_chapter-32_subchapter-A_part-I_section-4064_subsection-b,includes a producer or importer.
manufacturer,title-26_subtitle-D_chapter-32_subchapter-F_section-4217_subsection-e,includes a producer or importer.
manufacturer,title-26_subtitle-D_chapter-32_subchapter-G_section-4221_subsection-d,"includes a producer or importer of an article, and, in the case of taxes imposed by subchapter C of chapter 31, includes the retailer with respect to the first retail sale."
manufacturer,title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-m,means any person who is engaged in the business of manufacturing firearms.
taxable tire,title-26_subtitle-D_chapter-32_subchapter-A_part-II_section-4072_subsection-a,means any tire of the type used on highway vehicles if wholly or in part made of rubber and if marked pursuant to Federal regulations for highway use.
church records,title-26_subtitle-F_chapter-78_subchapter-A_section-7611_subsection-h,"means all corporate and financial records regularly kept by a church, including corporate minute books and lists of members and contributors."
bonded premises,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5002_subsection-a,"means the premises of a distilled spirits plant, or part thereof, on which distilled spirits operations are authorized to be conducted."
bonded premises,title-26_subtitle-E_chapter-51_subchapter-F_part-II_section-5362_subsection-b,means a bonded wine cellar or the bonded premises of a distilled spirits plant.
cooperative bank,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"means an institution without capital stock organized and operated for mutual purposes and without profit, which— (A) is subject by law to supervision and examination by State or Federal authority having supervision over such institutions, and (B) meets the requirements of subparagraphs (B) and (C) of paragraph (19) of this subsection (relating to definition of domestic building and loan association)."
qualified solid waste disposal facility,title-26_subtitle-F_chapter-79_section-7701_subsection-e,means any facility if such facility provides solid waste disposal services for residents of part or all of 1 or more governmental units and substantially all of the solid waste processed at such facility is collected from the general public.
specified private activity bond,title-26_subtitle-A_chapter-1_subchapter-A_part-VI_section-57_subsection-a,"means any private activity bond (as defined in section 141) which is issued after August 7, 1986, and the interest on which is not includible in gross income under section 103."
related taxpayer,title-26_subtitle-A_chapter-1_subchapter-Q_part-II_section-1313_subsection-c,"means a taxpayer who, with the taxpayer with respect to whom a determination is made, stood, in the taxable year with respect to which the erroneous inclusion, exclusion, omission, allowance, or disallowance was made, in one of the following relationships: (1) husband and wife, (2) grantor and fiduciary, (3) grantor and beneficiary, (4) fiduciary and beneficiary, legatee, or heir, (5) decedent and decedent's estate, (6) partner, or (7) member of an affiliated group of corporations (as defined in section 1504)."
specified affiliate,title-26_subtitle-D_chapter-37_section-4501_subsection-c,"means, with respect to any corporation— (i) any corporation more than 50 percent of the stock of which is owned (by vote or by value), directly or indirectly, by such corporation, and (ii) any partnership more than 50 percent of the capital interests or profits interests of which is held, directly or indirectly, by such corporation."
foreign insurer or reinsurer,title-26_subtitle-D_chapter-34_subchapter-A_section-4372_subsection-a,"means an insurer or reinsurer who is a nonresident alien individual, or a foreign partnership, or a foreign corporation."
judge,title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7447_subsection-a,means the chief judge or a judge of the Tax Court; but such term does not include any individual performing judicial duties pursuant to subsection (c).
judge,title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7448_subsection-a,"means the chief judge or a judge of the Tax Court, including any individual receiving retired pay (or compensation in lieu of retired pay) under section 7447 whether or not performing judicial duties pursuant to section 7447(c)."
qualified nonprofit organization,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-h,"means any organization if— (i) such organization is described in paragraph (3) or (4) of section 501(c) and is exempt from tax under section 501(a), (ii) such organization is determined by the State housing credit agency not to be affiliated with or controlled by a for-profit organization, and (iii) 1 of the exempt purposes of such organization includes the fostering of low-income housing."
options dealer,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-g,means any person registered with an appropriate national securities exchange as a market maker or specialist in listed options.
options dealer,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-g,includes any person whom the Secretary determines performs functions similar to the persons described in subparagraph (A).
options dealer,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1258_subsection-d,meaning given such term by section 1256(g)(8).
covered security,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6045_subsection-g,"means any specified security acquired on or after the applicable date if such security— (i) was acquired through a transaction in the account in which such security is held, or (ii) was transferred to such account from an account in which such security was a covered security, but only if the broker received a statement under section 6045A with respect to the transfer."
covered security,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6045_subsection-h,meanings given such terms in subsection (g)(3).
steel industry fuel,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45_subsection-c,"means a fuel which— (I) is produced through a process of liquifying coal waste sludge and distributing it on coal, and (II) is used as a feedstock for the manufacture of coke."
life insurance company,title-26_subtitle-A_chapter-1_subchapter-L_part-I_subpart-E_section-816_subsection-a,"means an insurance company which is engaged in the business of issuing life insurance and annuity contracts (either separately or combined with accident and health insurance), or noncancellable contracts of health and accident insurance, if— (1) its life insurance reserves (as defined in subsection (b)), plus (2) unearned premiums, and unpaid losses (whether or not ascertained), on noncancellable life, accident, or health policies not included in life insurance reserves, comprise more than 50 percent of its total reserves (as defined in subsection (c))."
real estate assets,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-c,"means real property (including interests in real property and interests in mortgages on real property or on interests in real property), shares (or transferable certificates of beneficial interest) in other real estate investment trusts which meet the requirements of this part, and debt instruments issued by publicly offered REITs."
holding company,title-26_subtitle-F_chapter-62_subchapter-B_section-6166_subsection-b,means any corporation holding stock in another corporation.
qualifying employer security,title-26_subtitle-D_chapter-43_section-4975_subsection-e,means any employer security within the meaning of section 409(l).
settlors,title-26_subtitle-J_chapter-99_subchapter-A_section-9701_subsection-b,"means the United Mine Workers of America and the Bituminous Coal Operators' Association, Inc."
responsible party,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6048_subsection-a,"means— (A) the grantor in the case of the creation of an inter vivos trust, (B) the transferor in the case of a reportable event described in paragraph (3)(A)(ii) other than a transfer by reason of death, and (C) the executor of the decedent's estate in any other case."
prescribed drug,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-213_subsection-d,means a drug or biological which requires a prescription of a physician for its use by an individual.
qualified decedent,title-26_subtitle-B_chapter-11_subchapter-C_section-2201_subsection-b,"means— (1) any citizen or resident of the United States dying while in active service of the Armed Forces of the United States, if such decedent— (A) was killed in action while serving in a combat zone, as determined under section 112(c), or (B) died as a result of wounds, disease, or injury suffered while serving in a combat zone (as determined under section 112(c)), and while in the line of duty, by reason of a hazard to which such decedent was subjected as an incident of such service, (2) any specified terrorist victim (as defined in section 692(d)(4)), and (3) any astronaut whose death occurs in the line of duty."
financial services group,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-d,"means any affiliated group (as defined in section 1504(a) without regard to paragraphs (2) and (3) of section 1504(b)) which is predominantly engaged in the active conduct of a banking, insurance, financing, or similar business."
qualified fuel substance,title-26_subtitle-D_chapter-38_subchapter-B_section-4662_subsection-b,"means any substance— (i) used in a qualified fuel use by the manufacturer, producer, or importer, (ii) sold for use by any purchaser in a qualified fuel use, or (iii) sold for resale by any purchaser for use, or resale for ultimate use, in a qualified fuel use."
