term,type,index,definition
estate,Entity,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-c,includes the estate of an individual in a case under title 11 of the United States Code.
insurance business,Entity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,means any business which is not a noninsurance business (within the meaning of section 453B(e)(3)).
qualified beneficiary,Entity,title-26_subtitle-D_chapter-43_section-4980B_subsection-g,"means, with respect to a covered employee under a group health plan, any other individual who, on the day before the qualifying event for that employee, is a beneficiary under the plan— (i) as the spouse of the covered employee, or (ii) as the dependent child of the employee."
qualified beneficiary,Entity,title-26_subtitle-D_chapter-43_section-4980B_subsection-g,"includes a covered employee who had retired on or before the date of substantial elimination of coverage and any other individual who, on the day before such qualifying event, is a beneficiary under the plan— (i) as the spouse of the covered employee, (ii) as the dependent child of the covered employee, or (iii) as the surviving spouse of the covered employee."
fractional owner,Entity,title-26_subtitle-D_chapter-31_subchapter-B_section-4043_subsection-c,means any person owning any interest (including the entire interest) in a fractional program aircraft.
long-term resident,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-877_subsection-e,means any individual (other than a citizen of the United States) who is a lawful permanent resident of the United States in at least 8 taxable years during the period of 15 taxable years ending with the taxable year during which the event described in paragraph (1) occurs.
long-term resident,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-877A_subsection-g,meaning given to such term by section 877(e)(2).
exempt operating foundation,Entity,title-26_subtitle-D_chapter-42_subchapter-A_section-4940_subsection-d,"means, with respect to any taxable year, any private foundation if— (A) such foundation is an operating foundation (as defined in section 4942(j)(3)), (B) such foundation has been publicly supported for at least 10 taxable years, (C) at all times during the taxable year, the governing body of such foundation— (i) consists of individuals at least 75 percent of whom are not disqualified individuals, and (ii) is broadly representative of the general public, and (D) at no time during the taxable year does such foundation have an officer who is a disqualified individual."
applicable holding company,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-A_section-332_subsection-d,"means any domestic corporation— (i) which is a common parent of an affiliated group, (ii) stock of which is directly owned by the distributee foreign corporation, (iii) substantially all of the assets of which consist of stock in other members of such affiliated group, and (iv) which has not been in existence at all times during the 5 years immediately preceding the date of the liquidation."
operating foundation,Entity,title-26_subtitle-D_chapter-42_subchapter-A_section-4942_subsection-j,"means any organization— (A) which makes qualifying distributions (within the meaning of paragraph (1) or (2) of subsection (g)) directly for the active conduct of the activities constituting the purpose or function for which it is organized and operated equal to substantially all of the lesser of— (i) its adjusted net income (as defined in subsection (f)), or (ii) its minimum investment return; and (B)(i) substantially more than half of the assets of which are devoted directly to such activities or to functionally related businesses (as defined in paragraph (4)), or to both, or are stock of a corporation which is controlled by the foundation and substantially all of the assets of which are so devoted, (ii) which normally makes qualifying distributions (within the meaning of paragraph (1) or (2) of subsection (g)) directly for the active conduct of the activities constituting the purpose or function for which it is organized and operated in an amount not less than two-thirds of its minimum investment return (as defined in subsection (e)), or (iii) substantially all of the support (other than gross investment income as defined in section 509(e)) of which is normally received from the general public and from 5 or more exempt organizations which are not described in section 4946(a)(1)(H) with respect to each other or the recipient foundation; not more than 25 percent of the support (other than gross investment income) of which is normally received from any one such exempt organization; and not more than half of the support of which is normally received from gross investment income."
operating foundation,Entity,title-26_subtitle-D_chapter-42_subchapter-A_section-4942_subsection-j,"includes any organization which, on May 26, 1969, and at all times thereafter before the close of the taxable year, operated and maintained as its principal functional purpose facilities for the long-term care, comfort, maintenance, or education of permanently and totally disabled persons, elderly persons, needy widows, or children but only if such organization meets the requirements of paragraph (3)(B)(ii)."
eligible cooperative,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45_subsection-e,means a cooperative organization described in section 1381(a) which is owned more than 50 percent by agricultural producers or by entities owned by agricultural producers.
eligible cooperative,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Y_subsection-g,means a cooperative organization described in section 1381(a) which is owned more than 50 percent by agricultural producers or by entities owned by agricultural producers.
agent,Entity,title-26_subtitle-F_chapter-77_section-7507_subsection-b,"as used in this subsection, shall be deemed to include a corporation acting as a liquidating agent."
independent appraiser,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,means any appraiser meeting requirements similar to the requirements of the regulations prescribed under section 170(a)(1).
special trial judge,Entity,title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7448_subsection-a,"means a judicial officer appointed pursuant to section 7443A, including any individual receiving an annuity under chapter 83 or 84 of title 5, United States Code."
qualified appraiser,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-f,"means an individual who— (I) has earned an appraisal designation from a recognized professional appraiser organization or has otherwise met minimum education and experience requirements set forth in regulations prescribed by the Secretary, (II) regularly performs appraisals for which the individual receives compensation, and (III) meets such other requirements as may be prescribed by the Secretary in regulations or other guidance."
qualified appraiser,Concept,title-26_subtitle-F_chapter-68_subchapter-A_part-II_section-6664_subsection-c,meaning given such term by section 170(f)(11)(E)(ii).
energy efficient commercial building property,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179D_subsection-c,"means property— (A) with respect to which depreciation (or amortization in lieu of depreciation) is allowable, (B) which is installed on or in any building which is— (i) located in the United States, and (ii) within the scope of Reference Standard 90."
energy efficient commercial building property,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179D_subsection-f,shall not include any energy efficient building retrofit property with respect to which a deduction is allowable under this subsection.
general retirement system,Entity,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-j,"means any pension, annuity, retirement, or similar fund or system established by a State or by a political subdivision thereof for employees of the State, political subdivision, or both; but such term shall not include such a fund or system which covers only service performed in positions connected with the operation of its public transportation system."
eligible farmers' cooperative,Entity,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-g,means an organization to which part I of subchapter T applies and which is engaged in the marketing of agricultural or horticultural products.
major integrated oil company,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-167_subsection-h,"means, with respect to any taxable year, a producer of crude oil— (i) which has an average daily worldwide production of crude oil of at least 500,000 barrels for the taxable year, (ii) which had gross receipts in excess of $1,000,000,000 for its last taxable year ending during calendar year 2005, and (iii) to which subsection (c) of section 613A does not apply by reason of paragraph (4) of section 613A(d), determined— (I) by substituting ""15 percent"" for ""5 percent"" each place it occurs in paragraph (3) of section 613A(d), and (II) without regard to whether subsection (c) of section 613A does not apply by reason of paragraph (2) of section 613A(d)."
qualified farmer or rancher,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-b,means a taxpayer whose gross income from the trade or business of farming (within the meaning of section 2032A(e)(5)) is greater than 50 percent of the taxpayer's gross income for the taxable year.
long-term family assistance recipient,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-F_section-51_subsection-d,"means any individual who is certified by the designated local agency— (A) as being a member of a family receiving assistance under a IV–A program (as defined in paragraph (2)(B)) for at least the 18-month period ending on the hiring date, (B)(i) as being a member of a family receiving such assistance for 18 months beginning after August 5, 1997, and (ii) as having a hiring date which is not more than 2 years after the end of the earliest such 18-month period, or (C)(i) as being a member of a family which ceased to be eligible for such assistance by reason of any limitation imposed by Federal or State law on the maximum period such assistance is payable to a family, and (ii) as having a hiring date which is not more than 2 years after the date of such cessation."
motion picture project,Entity,title-26_subtitle-C_chapter-25_section-3512_subsection-b,means the production of any property described in section 168(f)(3).
magazine,Entity,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-458_subsection-b,includes any other periodical.
expatriate,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-877A_subsection-g,"means— (A) any United States citizen who relinquishes his citizenship, and (B) any long-term resident of the United States who ceases to be a lawful permanent resident of the United States (within the meaning of section 7701(b)(6))."
qualified fund,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-J_section-988_subsection-c,"means any partnership if— (I) at all times during the taxable year (and during each preceding taxable year to which an election under subclause (V) applied), such partnership has at least 20 partners and no single partner owns more than 20 percent of the interests in the capital or profits of the partnership, (II) the principal activity of such partnership for such taxable year (and each such preceding taxable year) consists of buying and selling options, futures, or forwards with respect to commodities, (III) at least 90 percent of the gross income of the partnership for the taxable year (and for each such preceding taxable year) consisted of income or gains described in subparagraph (A), (B), or (G) of section 7704(d)(1) or gain from the sale or disposition of capital assets held for the production of interest or dividends, (IV) no more than a de minimis amount of the gross income of the partnership for the taxable year (and each such preceding taxable year) was derived from buying and selling commodities, and (V) an election under this subclause applies to the taxable year."
service organization,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-m,means an organization the principal business of which is the performance of services.
specified individual,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-274_subsection-e,"means any individual who— (I) is subject to the requirements of section 16(a) of the Securities Exchange Act of 1934 with respect to the taxpayer or a related party to the taxpayer, or (II) would be subject to such requirements if the taxpayer (or such related party) were an issuer of equity securities referred to in such section."
specified individual,Entity,title-26_subtitle-F_chapter-65_subchapter-B_section-6428A_subsection-f,"means any individual who is— (i) a specified social security beneficiary, (ii) a specified supplemental security income recipient, (iii) a specified railroad retirement beneficiary, or (iv) a specified veterans beneficiary."
affiliate,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-865_subsection-i,means a member of the same affiliated group (within the meaning of section 1504(a) without regard to section 1504(b)).
affiliate,Entity,title-26_subtitle-D_chapter-43_section-4975_subsection-f,means an affiliated person of the entity (as defined in section 2(a)(3) of the Investment Company Act of 1940 (15 U.
affiliate,Entity,title-26_subtitle-E_chapter-51_subchapter-F_part-III_section-5382_subsection-a,meaning given such term by section 117(a)(4) of the Federal Alcohol Administration Act (27 U.
investment company,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-D_section-368_subsection-a,"means a regulated investment company, a real estate investment trust, or a corporation 50 percent or more of the value of whose total assets are stock and securities and 80 percent or more of the value of whose total assets are assets held for investment."
split-interest entity,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-d,"means— (I) a charitable remainder annuity trust (as defined in section 664(d)(1)), but only if such trust is funded exclusively by qualified charitable distributions, (II) a charitable remainder unitrust (as defined in section 664(d)(2)), but only if such unitrust is funded exclusively by qualified charitable distributions, or (III) a charitable gift annuity (as defined in section 501(m)(5)), but only if such annuity is funded exclusively by qualified charitable distributions and commences fixed payments of 5 percent or greater not later than 1 year from the date of funding."
electronic scrap,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-m,"means— (I) any cathode ray tube, flat panel screen, or similar video display device with a screen size greater than 4 inches measured diagonally, or (II) any central processing unit."
eligible child,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-23_subsection-d,"means any individual who— (A) has not attained age 18, or (B) is physically or mentally incapable of caring for himself."
disqualified preferred stock,Entity,title-26_subtitle-A_chapter-1_subchapter-O_part-IV_section-1059_subsection-f,"means any stock which is preferred as to dividends if— (A) when issued, such stock has a dividend rate which declines (or can reasonably be expected to decline) in the future, (B) the issue price of such stock exceeds its liquidation rights or its stated redemption price, or (C) such stock is otherwise structured— (i) to avoid the other provisions of this section, and (ii) to enable corporate shareholders to reduce tax through a combination of dividend received deductions and loss on the disposition of the stock."
foreign person,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-VII_section-59A_subsection-f,meaning given such term by section 6038A(c)(3).
foreign person,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-B_section-881_subsection-b,"means any person other than— (i) a United States person, or (ii) a person who would be a United States person if references to the United States in section 7701 included references to a possession of the United States."
foreign person,Entity,title-26_subtitle-A_chapter-3_subchapter-A_section-1445_subsection-f,"means any person other than— (A) a United States person, and (B) except as otherwise provided by the Secretary, an entity with respect to which section 897 does not apply by reason of subsection (l) thereof."
foreign person,Entity,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6038A_subsection-c,means any person who is not a United States person.
foreign person,Entity,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6039C_subsection-c,means any person who is not a United States person.
individual account plan,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-u,"means any defined contribution plan (including any tax-sheltered annuity plan under section 403(b), any simplified employee pension under section 408(k), any qualified salary reduction arrangement under section 408(p), and any eligible deferred compensation plan (as defined in section 457(b)))."
mutual savings bank,Entity,title-26_subtitle-A_chapter-1_subchapter-H_part-II_section-591_subsection-b,"includes any bank— (1) which has capital stock represented by shares, and (2) which is subject to, and operates under, Federal or State laws relating to mutual savings bank."
electing investment partnership,Entity,title-26_subtitle-A_chapter-1_subchapter-K_part-II_subpart-C_section-743_subsection-e,"means any partnership if— (A) the partnership makes an election to have this subsection apply, (B) the partnership would be an investment company under section 3(a)(1)(A) of the Investment Company Act of 1940 but for an exemption under paragraph (1) or (7) of section 3(c) of such Act, (C) such partnership has never been engaged in a trade or business, (D) substantially all of the assets of such partnership are held for investment, (E) at least 95 percent of the assets contributed to such partnership consist of money, (F) no assets contributed to such partnership had an adjusted basis in excess of fair market value at the time of contribution, (G) all partnership interests of such partnership are issued by such partnership pursuant to a private offering before the date which is 24 months after the date of the first capital contribution to such partnership, (H) the partnership agreement of such partnership has substantive restrictions on each partner's ability to cause a redemption of the partner's interest, and (I) the partnership agreement of such partnership provides for a term that is not in excess of 15 years."
shotgun,Entity,title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-d,"means a weapon designed or redesigned, made or remade, and intended to be fired from the shoulder and designed or redesigned and made or remade to use the energy of the explosive in a fixed shotgun shell to fire through a smooth bore either a number of projectiles (ball shot) or a single projectile for each pull of the trigger, and shall include any such weapon which may be readily restored to fire a fixed shotgun shell."
liquor bottle,Entity,title-26_subtitle-E_chapter-51_subchapter-E_part-II_section-5301_subsection-c,mean a liquor bottle or other container which has been used for the bottling or packaging of distilled spirits under regulations issued pursuant to subsection (a).
loss corporation,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-382_subsection-k,means a corporation entitled to use a net operating loss carryover or having a net operating loss for the taxable year in which the ownership change occurs.
artist,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-h,"means any individual if the personal efforts of such individual create (or may reasonably be expected to create) a picture, painting, sculpture, statue, etching, drawing, cartoon, graphic design, or original print edition."
75/25 mixed-fuel vehicle,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30B_subsection-e,means a mixed-fuel vehicle which operates using at least 75 percent alternative fuel and not more than 25 percent petroleum-based fuel.
new qualified fuel cell motor vehicle,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30B_subsection-b,"means a motor vehicle— (A) which is propelled by power derived from 1 or more cells which convert chemical energy directly into electricity by combining oxygen with hydrogen fuel which is stored on board the vehicle in any form and may or may not require reformation prior to use, (B) which, in the case of a passenger automobile or light truck, has received on or after the date of the enactment of this section a certificate that such vehicle meets or exceeds the Bin 5 Tier II emission level established in regulations prescribed by the Administrator of the Environmental Protection Agency under section 202(i) of the Clean Air Act for that make and model year vehicle, (C) the original use of which commences with the taxpayer, (D) which is acquired for use or lease by the taxpayer and not for resale, and (E) which is made by a manufacturer."
bargaining party,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-432_subsection-j,"means— (A)(i) except as provided in clause (ii), an employer who has an obligation to contribute under the plan; or (ii) in the case of a plan described under section 404(c), or a continuation of such a plan, the association of employers that is the employer settlor of the plan; and (B) an employee organization which, for purposes of collective bargaining, represents plan participants employed by an employer who has an obligation to contribute under the plan."
family-owned corporation,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-354_subsection-a,means any corporation which is described in clause (i) of section 447(d)(2)(C) 1 throughout the 8-year period beginning on the date which is 5 years before the date of the recapitalization.
tax-exempt organization,Entity,title-26_subtitle-F_chapter-68_subchapter-B_part-I_section-6711_subsection-c,"means any organization which— (A) is described in subsection (c) or (d) of section 501 and exempt from taxation under section 501(a), or (B) is a political organization (as defined in section 527(e))."
specified taxpayer,Entity,title-26_subtitle-F_chapter-80_subchapter-A_section-7803_subsection-e,"means— (I) in the case of any taxpayer who is a natural person, a taxpayer whose adjusted gross income does not exceed $400,000 for the taxable year to which the dispute relates, and (II) in the case of any other taxpayer, a taxpayer whose gross receipts do not exceed $5 million for the taxable year to which the dispute relates."
biomass,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40B_subsection-d,meaning given such term in section 45K(c)(3).
biomass,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45K_subsection-c,"means any organic material other than— (A) oil and natural gas (or any product thereof), and (B) coal (including lignite) or any product thereof."
biomass,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Z_subsection-d,meaning given such term in section 45K(c)(3).
biomass,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48B_subsection-c,"means any— (i) agricultural or plant waste, (ii) byproduct of wood or paper mill operations, including lignin in spent pulping liquors, and (iii) other products of forestry maintenance."
biomass,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48B_subsection-c,does not include paper which is commonly recycled.
qualified investment entity,Entity,title-26_subtitle-A_chapter-1_subchapter-M_part-III_section-860_subsection-b,"means— (1) a regulated investment company, and (2) a real estate investment trust."
qualified investment entity,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-897_subsection-h,"means— (i) any real estate investment trust, and (ii) any regulated investment company which is a United States real property holding corporation or which would be a United States real property holding corporation if the exceptions provided in subsections (c)(3) and (h)(2) did not apply to interests in any real estate investment trust or regulated investment company."
wholesale dealer in liquors,Entity,title-26_subtitle-E_chapter-51_subchapter-A_part-II_subpart-C_section-5121_subsection-c,"means any dealer (other than a wholesale dealer in beer) who sells, or offers for sale, distilled spirits, wines, or beer, to another dealer."
qualified veteran,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-F_section-51_subsection-d,"means any veteran who is certified by the designated local agency as— (i) being a member of a family receiving assistance under a supplemental nutrition assistance program under the Food and Nutrition Act of 2008 for at least a 3-month period ending during the 12-month period ending on the hiring date, (ii) entitled to compensation for a service-connected disability, and— (I) having a hiring date which is not more that 1 year after having been discharged or released from active duty in the Armed Forces of the United States, or (II) having aggregate periods of unemployment during the 1-year period ending on the hiring date which equal or exceed 6 months, (iii) having aggregate periods of unemployment during the 1-year period ending on the hiring date which equal or exceed 4 weeks (but less than 6 months), or (iv) having aggregate periods of unemployment during the 1-year period ending on the hiring date which equal or exceed 6 months."
qualified veteran,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-l,"means any veteran who— (A) served on active duty, and (B) applied for the financing before the date 25 years after the last date on which such veteran left active service."
qualified veteran,Entity,title-26_subtitle-C_chapter-21_subchapter-B_section-3111_subsection-e,meaning given such term by section 51(d)(3).
presidential election,Entity,title-26_subtitle-H_chapter-95_section-9002,means the election of presidential and vice-presidential electors.
special compliance personnel,Entity,title-26_subtitle-F_chapter-64_subchapter-A_section-6307_subsection-d,"means individuals employed by the Internal Revenue Service as field function collection officers or in a similar position, or employed to collect taxes using the automated collection system or an equivalent replacement system."
simplified employee pension,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-k,"means an individual retirement account or individual retirement annuity— (A) with respect to which the requirements of paragraphs (2), (3), (4), and (5) of this subsection are met, and (B) if such account or annuity is part of a top-heavy plan (as defined in section 416), with respect to which the requirements of section 416(c)(2) are met."
geological gas facility,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-o,"means a facility that— (3) Special rule for facilities with less than 65 percent capture and storage percentage (A) In general Subject to subparagraph (B), the eligible components of an industrial carbon dioxide facility satisfies the requirements of this paragraph if such eligible components are designed to have a capture and storage percentage (as determined under subparagraph (C)) that is equal to or greater than 65 percent."
intragroup stock,Entity,title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-304_subsection-b,"means any stock which— (I) is in a corporation which is a member of an affiliated group, and (II) is held by another member of such group."
intragroup stock,Entity,title-26_subtitle-A_chapter-6_subchapter-A_section-1503_subsection-e,"means any stock which— (i) is in a corporation which is or was a member of an affiliated group of corporations, and (ii) is held by another corporation which is or was a member of such group."
nonparticipating emergency facility,Entity,title-26_subtitle-K_chapter-100_subchapter-B_section-9816_subsection-a,"means, with respect to an item or service and a group health plan, an emergency department of a hospital, or an independent freestanding emergency department, that does not have a contractual relationship directly or indirectly with the plan for furnishing such item or service under the plan."
internal revenue officer assigned to the premises,Entity,title-26_subtitle-E_chapter-51_subchapter-I_section-5553_subsection-b,means the internal revenue officer assigned by the Secretary to duties at premises established and operated under the provisions of this chapter.
public utility property,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-i,"means property used predominantly in the trade or business of the furnishing or sale of— (A) electrical energy, water, or sewage disposal services, (B) gas or steam through a local distribution system, (C) telephone services, or other communication services if furnished or sold by the Communications Satellite Corporation for purposes authorized by the Communications Satellite Act of 1962 (47 U."
nonresident,Concept,title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-865_subsection-g,means any person other than a United States resident.
child,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-f,"means an individual who is— (i) a son, daughter, stepson, or stepdaughter of the taxpayer, or (ii) an eligible foster child of the taxpayer."
election,Concept,title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-j,"means— (A) a general, special, primary, or runoff election for a Federal office, (B) a convention or caucus of a political party which has authority to nominate a candidate for Federal office, (C) a primary election held for the selection of delegates to a national nominating convention of a political party, or (D) a primary election held for the expression of a preference for the nomination of individuals for election to the office of President."
qualified nuclear power facility,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45U_subsection-b,"means any nuclear facility— (A) which is owned by the taxpayer and which uses nuclear energy to produce electricity, (B) which is not an advanced nuclear power facility as defined in subsection (d)(1) of section 45J, and (C) which is placed in service before the date of the enactment of this section."
added employer,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45S_subsection-c,"means an eligible employer (determined without regard to this paragraph), whether or not covered by that title I, who offers paid family and medical leave to added employees."
key person,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-264_subsection-e,"means an officer or 20-percent owner, except that the number of individuals who may be treated as key persons with respect to any taxpayer shall not exceed the greater of— (A) 5 individuals, or (B) the lesser of 5 percent of the total officers and employees of the taxpayer or 20 individuals."
qualified business unit,Concept,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-954_subsection-h,meaning given such term by section 989(a).
qualified business unit,Concept,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-J_section-989_subsection-a,means any separate and clearly identified unit of a trade or business of a taxpayer which maintains separate books and records.
1-percent owner,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-i,"means any person who would be described in clause (i) if ""1 percent"" were substituted for ""5 percent"" each place it appears in clause (i)."
certified pollution control facility,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-169_subsection-d,"means a new identifiable treatment facility which is used, in connection with a plant or other property in operation before January 1, 1976, to abate or control water or atmospheric pollution or contamination by removing, altering, disposing, storing, or preventing the creation or emission of pollutants, contaminants, wastes, or heat and which— (A) the State certifying authority having jurisdiction with respect to such facility has certified to the Federal certifying authority as having been constructed, reconstructed, erected, or acquired in conformity with the State program or requirements for abatement or control of water or atmospheric pollution or contamination; (B) the Federal certifying authority has certified to the Secretary (i) as being in compliance with the applicable regulations of Federal agencies and (ii) as being in furtherance of the general policy of the United States for cooperation with the States in the prevention and abatement of water pollution under the Federal Water Pollution Control Act, as amended (33 U."
qualified cooperative housing corporation,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,"means any cooperative housing corporation (as defined in section 216(b)(1)) if— (i) the consideration paid for stock held by any stockholder entitled to occupy any house or apartment in a building owned or leased by the corporation may not exceed the sum of— (I) the consideration paid for such stock by the first such stockholder, as adjusted by a cost-of-living adjustment determined by the Secretary, (II) payments made by any stockholder for improvements to such house or apartment, and (III) payments (other than amounts taken into account under subclause (I) or (II)) attributable to any stockholder to amortize the principal of the corporation's indebtedness arising from the acquisition or development of real property, including improvements thereof, (ii) the value of the corporation's assets (reduced by any corporate liabilities), to the extent such value exceeds the combined transfer values of the outstanding corporate stock, shall be used only for public benefit or charitable purposes, or directly to benefit the corporation itself, and shall not be used directly to benefit any stockholder, and (iii) at the time of issuance of the issue, such corporation makes an election under this paragraph."
federally declared disaster,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,meaning given such term by section 165(h)(3)(C)(i).
federally declared disaster,Entity,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1033_subsection-h,meaning given such terms by section 165(i)(5).
covered health insurance provider,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-m,"means— (I) with respect to taxable years beginning after December 31, 2009, and before January 1, 2013, any employer which is a health insurance issuer (as defined in section 9832(b)(2)) and which receives premiums from providing health insurance coverage (as defined in section 9832(b)(1)), and (II) with respect to taxable years beginning after December 31, 2012, any employer which is a health insurance issuer (as defined in section 9832(b)(2)) and with respect to which not less than 25 percent of the gross premiums received from providing health insurance coverage (as defined in section 9832(b)(1)) is from minimum essential coverage (as defined in section 5000A(f))."
regulated natural gas,Entity,title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613A_subsection-b,"means domestic natural gas produced and sold by the producer, before July 1, 1976, subject to the jurisdiction of the Federal Power Commission, the price for which has not been adjusted to reflect to any extent the increase in liability of the seller for tax under this chapter by reason of the repeal of percentage depletion for gas."
foreign financial institution,Entity,title-26_subtitle-A_chapter-4_section-1471_subsection-d,means any financial institution which is a foreign entity.
common trust fund,Concept,title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-584_subsection-a,"means a fund maintained by a bank— (1) exclusively for the collective investment and reinvestment of moneys contributed thereto by the bank in its capacity— (A) as a trustee, executor, administrator, or guardian, or (B) as a custodian of accounts— (i) which the Secretary determines are established pursuant to a State law which is substantially similar to the Uniform Gifts to Minors Act as published by the American Law Institute, and (ii) with respect to which the bank establishes, to the satisfaction of the Secretary, that it has duties and responsibilities similar to duties and responsibilities of a trustee or guardian; and (2) in conformity with the rules and regulations, prevailing from time to time, of the Board of Governors of the Federal Reserve System or the Comptroller of the Currency pertaining to the collective investment of trust funds by national banks."
certified distributed wind energy system,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,means a wind energy system which is certified by an accredited certification agency to meet Standard 9.
applicable multi-beneficiary trust,Entity,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,"means a trust— (I) which has more than one beneficiary, (II) all of the beneficiaries of which are treated as designated beneficiaries for purposes of determining the distribution period pursuant to this paragraph, and (III) at least one of the beneficiaries of which is an eligible designated beneficiary described in subclause (III) or (IV) of subparagraph (E)(ii)."
qualified homeless youth,Entity,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-32_subsection-n,"means, with respect to any taxable year, an individual who certifies, in a manner as provided by the Secretary, that such individual is either an unaccompanied youth who is a homeless child or youth, or is unaccompanied, at risk of homelessness, and self-supporting."
