index,name,type,definition
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-280H_subsection-f,deferral period,concept,meaning given to such term by section 444(b)(4).
title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-t,qualified first-time homebuyer distribution,concept,"means any payment or distribution received by an individual to the extent such payment or distribution is used by the individual before the close of the 120th day after the day on which such payment or distribution is received to pay qualified acquisition costs with respect to a principal residence of a first-time homebuyer who is such individual, the spouse of such individual, or any child, grandchild, or ancestor of such individual or the individual's spouse."
title-26_subtitle-A_chapter-1_subchapter-B_part-X_section-281_subsection-d,terminal railroad corporation,entity,"means a domestic railroad corporation which is not a member, other than as a common parent corporation, of an affiliated group (as defined in section 1504) and— (A) all of the shareholders of which are rail carriers subject to part A of subtitle IV of title 49; (B) the primary business of which is the providing of railroad terminal and switching facilities and services to rail carriers subject to part A of subtitle IV of title 49 and to the shippers and passengers of such railroad corporations; (C) a substantial part of the services of which for the taxable year is rendered to one or more of its shareholders; and (D) each shareholder of which computes its taxable income on the basis of a taxable year beginning or ending on the same day that the taxable year of"
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-453_subsection-f,depreciable property,concept,means property of a character which (in the hands of the transferee) is subject to the allowance for depreciation provided in section 167.
title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-l,qualified veterans' mortgage bond,concept,"shall not include any bond issued to refund another bond but only if the maturity date of the refunding bond is not later than the later of— (I) the maturity date of the bond to be refunded, or (II) the date 32 years after the date on which the refunded bond was issued (or in the case of a series of refundings, the date on which the original bond was issued)."
title-26_subtitle-F_chapter-77_section-7519_subsection-f,underpayment,concept,means the excess of the amount of the payment required under this section over the amount (if any) of such payment paid on or before the date prescribed therefor.
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,non-owner employee,entity,"means any employee who does not own, at any time during the taxable year, more than 5 percent in value of the outstanding stock of the taxpayer."
title-26_subtitle-A_chapter-1_subchapter-U_part-III_subpart-D_section-1397C_subsection-c,employee,entity,includes the proprietor.
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45S_subsection-g,wages,entity,meaning given such term by subsection (b) of section 3306 (determined without regard to any dollar limitation contained in such section).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-c,base amount,concept,"means the product of— (A) the fixed-base percentage, and (B) the average annual gross receipts of the taxpayer for the 4 taxable years preceding the taxable year for which the credit is being determined (hereinafter in this subsection referred to as the ""credit year"")."
title-26_subtitle-A_chapter-1_subchapter-H_part-II_section-593_subsection-d,affiliated group,entity,"meaning assigned to such term by section 1504(a); except that (i) the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" each place it appears in section 1504(a), and (ii) all corporations shall be treated as includible corporations (without any exclusion under section 1504(b))."
title-26_subtitle-C_chapter-24_section-3401_subsection-f,wages,entity,includes tips received by an employee in the course of his employment.
title-26_subtitle-A_chapter-1_subchapter-Q_part-I_section-1301_subsection-b,elected farm income,concept,means so much of the taxable income for the taxable year— (i) which is attributable to any farming business or fishing business; and (ii) which is specified in the election under subsection (a).
title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-e,contributions,entity,meaning given to such term by section 271(b)(2).
title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5001_subsection-c,controlled group,entity,"meaning given such term by subsection (a) of section 1563, except that ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in such subsection."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-167_subsection-e,related person,entity,means any person bearing a relationship to the taxpayer described in subsection (b) or (e) of section 267.
title-26_subtitle-A_chapter-1_subchapter-F_part-VII_section-528_subsection-c,timeshare association,entity,"means any organization (other than a condominium management association) meeting the requirement of subparagraph (A) of paragraph (1) if any member thereof holds a timeshare right to use, or a timeshare ownership interest in, real property constituting association property."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1236_subsection-c,security,entity,"means any share of stock in any corporation, certificate of stock or interest in any corporation, note, bond, debenture, or evidence of indebtedness, or any evidence of an interest in or right to subscribe to or purchase any of the foregoing."
title-26_subtitle-A_chapter-1_subchapter-B_part-I_section-62_subsection-b,joint return,entity,means the joint return of a husband and wife made under section 6013.
title-26_subtitle-D_chapter-42_subchapter-A_section-4943_subsection-e,disqualified person,entity,"means, with respect to the donor advised fund, any person who is— (A) described in section 4966(d)(2)(A)(iii), (B) a member of the family of an individual described in subparagraph (A), or (C) a 35-percent controlled entity (as defined in section 4958(f)(3) by substituting ""persons described in subparagraph (A) or (B) of section 4943(e)(2)"" for ""persons described in subparagraph (A) or (B) of paragraph (1)"" in subparagraph (A)(i) thereof)."
title-26_subtitle-D_chapter-45_section-4985_subsection-e,expatriated corporation,entity,means any corporation which is an expatriated entity (as defined in section 7874(a)(2)).
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-467_subsection-e,related person,entity,meaning given to such term by section 465(b)(3)(C).
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-512_subsection-b,qualifying partnership,entity,"means a partnership which— (I) has a partnership agreement which satisfies the requirements of section 514(c)(9)(B)(vi) at all times beginning on the date of the first certification received by the partnership under subparagraph (C)(i), (II) satisfies the requirements of subparagraphs (B)(i), (C), (D), and (E), if ""qualified partnership"" is substituted for ""eligible taxpayer"" each place it appears therein (except subparagraph (D)(iii)), and (III) is not an organization which would be prevented from constituting an eligible taxpayer by reason of subparagraph (B)(ii)."
title-26_subtitle-D_chapter-46_section-4999_subsection-b,excess parachute payment,entity,meaning given to such term by section 280G(b).
title-26_subtitle-D_chapter-44_section-4982_subsection-e,net capital gain,concept,meaning given such term by section 1222(11) (determined by treating the 1-year period ending on October 31 of the calendar year as the company's taxable year).
title-26_subtitle-H_chapter-95_section-9002,fund,entity,means the Presidential Election Campaign Fund established by section 9006(a).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-k,eligible employee,entity,means any employee of the employer who meets the minimum age and service conditions described in section 410(a)(1).
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-956_subsection-c,trade or service receivable,entity,meanings given to such terms by section 864(d).
title-26_subtitle-D_chapter-43_section-4975_subsection-f,correction period,entity,"means the 14-day period beginning on the date on which the disqualified person discovers, or reasonably should have discovered, that the transaction would (without regard to this paragraph and subsection (d)(23)) constitute a prohibited transaction."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1239_subsection-c,controlled entity,concept,"means, with respect to any person— (A) a corporation more than 50 percent of the value of the outstanding stock of which is owned (directly or indirectly) by or for such person, (B) a partnership more than 50 percent of the capital interest or profits interest in which is owned (directly or indirectly) by or for such person, and (C) any entity which is a related person to such person under paragraph (3), (10), (11), or (12) of section 267(b)."
title-26_subtitle-A_chapter-1_subchapter-B_part-I_section-63_subsection-c,standard deduction,concept,"means the sum of— (A) the basic standard deduction, and (B) the additional standard deduction."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-f,qualified appraiser,concept,"means an individual who— (I) has earned an appraisal designation from a recognized professional appraiser organization or has otherwise met minimum education and experience requirements set forth in regulations prescribed by the Secretary, (II) regularly performs appraisals for which the individual receives compensation, and (III) meets such other requirements as may be prescribed by the Secretary in regulations or other guidance."
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-513_subsection-g,unrelated trade or business,entity,does not include engaging in qualified pole rentals (as defined in section 501(c)(12)(D)).
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-953_subsection-c,united states shareholder,entity,"means, with respect to any foreign corporation, a United States person (as defined in section 957(c)) who owns (within the meaning of section 958(a)) any stock of the foreign corporation, (B)"
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-e,corporation,entity,"shall not include— (i) an S corporation, (ii) a personal holding company (as defined in section 542), and (iii) a service organization (as defined in section 414(m)(3))."
title-26_subtitle-A_chapter-1_subchapter-C_part-III_subpart-B_section-355_subsection-d,purchase,concept,"means any acquisition but only if— (i) the basis of the property acquired in the hands of the acquirer is not determined (I) in whole or in part by reference to the adjusted basis of such property in the hands of the person from whom acquired, or (II) under section 1014(a), and (ii) the property is not acquired in an exchange to which section 351, 354, 355, or 356 applies."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-38_subsection-c,controlled group,entity,meaning given to such term by section 1563(a).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-36_subsection-c,purchase,concept,"means any acquisition, but only if— (i) the property is not acquired from a person related to the person acquiring such property (or, if married, such individual's spouse), and (ii) the basis of the property in the hands of the person acquiring such property is not determined— (I) in whole or in part by reference to the adjusted basis of such property in the hands of the person from whom acquired, or (II) under section 1014(a) (relating to property acquired from a decedent)."
title-26_subtitle-B_chapter-14_section-2704_subsection-b,applicable restriction,concept,"means any restriction— (A) which effectively limits the ability of the corporation or partnership to liquidate, and (B) with respect to which either of the following applies: (i) The restriction lapses, in whole or in part, after the transfer referred to in paragraph (1)."
title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-m,commercial-type insurance,entity,"includes annuities For purposes of this subsection, the issuance of annuity contracts shall be treated as providing insurance."
title-26_subtitle-A_chapter-1_subchapter-A_part-VII_section-59A_subsection-c,base erosion percentage,concept,"means, for any taxable year, the percentage determined by dividing— (i) the aggregate amount of base erosion tax benefits of the taxpayer for the taxable year, by (ii) the sum of— (I) the aggregate amount of the deductions (including deductions described in clauses (i) and (ii) of paragraph (2)(A)) allowable to the taxpayer under this chapter for the taxable year, plus (II) the base erosion tax benefits described in clauses (iii) and (iv) of paragraph (2)(A) allowable to the taxpayer for the taxable year."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-g,eligible taxpayer,entity,"means— (i) a taxpayer other than a corporation, or (ii) a specified agricultural or horticultural cooperative."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,affiliated group of corporations,entity,means an affiliated group (as defined in section 1504(a)) which files or is required to file consolidated income tax returns.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-E_section-420_subsection-e,excess pension assets,concept,"means the excess (if any) of— (A) the lesser of— (i) the fair market value of the plan's assets (reduced by the prefunding balance and funding standard carryover balance determined under section 430(f)), or (ii) the value of plan assets as determined under section 430(g)(3) after reduction under section 430(f), over (B) 125 percent of the sum of the funding target and the target normal cost determined under section 430 for such plan year."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-b,applicable percentage,concept,"means, with respect to any building, the appropriate percentage prescribed by the Secretary for the earlier of— (i) the month in which such building is placed in service, or (ii) at the election of the taxpayer— (I) the month in which the taxpayer and the housing credit agency enter into an agreement with respect to such building (which is binding on such agency, the taxpayer, and all successors in interest) as to the housing credit dollar amount to be allocated to such building, or (II) in the case of any building to which subsection (h)(4)(B) applies, the month in which the tax-exempt obligations are issued."
title-26_subtitle-A_chapter-1_subchapter-K_part-III_section-761_subsection-b,partner,entity,means a member of a partnership.
title-26_subtitle-A_chapter-1_subchapter-H_part-II_section-591_subsection-b,mutual savings bank,entity,"includes any bank— (1) which has capital stock represented by shares, and (2) which is subject to, and operates under, Federal or State laws relating to mutual savings bank."
title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-l,taxable reit subsidiary,entity,"means, with respect to a real estate investment trust, a corporation (other than a real estate investment trust) if— (A) such trust directly or indirectly owns stock in such corporation, and (B) such trust and such corporation jointly elect that such corporation shall be treated as a taxable REIT subsidiary of such trust for purposes of this part."
title-26_subtitle-D_chapter-32_subchapter-C_section-4132_subsection-a,united states,entity,meaning given such term by section 4612(a)(4).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-b,federal laboratory,entity,meaning given such term by section 4(6) of the Stevenson-Wydler Technology Innovation Act of 1980 (15 U.
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,short-term lease,concept,means any lease
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,tax-exempt use property,concept,means that portion of any tangible property (other than nonresidential real property) leased to a tax-exempt entity.
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-271_subsection-b,expenditures,concept,"includes a payment, distribution, loan, advance, deposit, or gift, of money, or anything of value, and includes a contract, promise, or agreement to make an expenditure, whether or not legally enforceable."
title-26_subtitle-D_chapter-42_subchapter-A_section-4943_subsection-f,type iii supporting organization,entity,means an organization which meets the requirements of subparagraphs (A) and (C) of section 509(a)(3) and which is operated in connection with one or more organizations described in paragraph (1) or (2) of section 509(a).
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-i,acquisition,concept,includes the amount of income to which paragraph (1) applies and such other information as the Secretary may prescribe.
title-26_subtitle-A_chapter-1_subchapter-B_part-I_section-66_subsection-d,community property laws,concept,"means the community property laws of a State, a foreign country, or a possession of the United States."
title-26_subtitle-B_chapter-14_section-2704_subsection-c,control,concept,meaning given such term by section 2701(b)(2).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-h,constitutional home rule city,entity,meaning given such term by section 146(d)(3)(C).
title-26_subtitle-F_chapter-80_subchapter-C_section-7874_subsection-a,expatriated entity,entity,"means— (i) the domestic corporation or partnership referred to in subparagraph (B)(i) with respect to which a foreign corporation is a surrogate foreign corporation, and (ii) any United States person who is related (within the meaning of section 267(b) or 707(b)(1)) to a domestic corporation or partnership described in clause (i)."
title-26_subtitle-A_chapter-1_subchapter-M_part-I_section-851_subsection-h,qualified publicly traded partnership,entity,means a publicly traded partnership described in section 7704(b) other than a partnership which would satisfy the gross income requirements of section 7704(c)(2) if qualifying income included only income described in subsection (b)(2)(A).
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-280G_subsection-b,parachute payment,concept,"means any payment in the nature of compensation to (or for the benefit of) a disqualified individual if— (i) such payment is contingent on a change— (I) in the ownership or effective control of the corporation, or (II) in the ownership of a substantial portion of the assets of the corporation, and (ii) the aggregate present value of the payments in the nature of compensation to (or for the benefit of) such individual which are contingent on such change equals or exceeds an amount equal to 3 times the base amount."
title-26_subtitle-F_chapter-61_subchapter-B_section-6115_subsection-b,quid pro quo contribution,concept,means a payment made partly as a contribution and partly in consideration for goods or services provided to the payor by the donee organization.
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-105_subsection-h,self-insured medical reimbursement plan,concept,means a plan of an employer to reimburse employees for expenses referred to in subsection (b) for which reimbursement is not provided under a policy of accident and health insurance.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,church plan,concept,"means a plan maintained by a church for church employees, and"
title-26_subtitle-F_chapter-79_section-7701_subsection-a,state,entity,"shall be construed to include the District of Columbia, where such construction is necessary to carry out provisions of this title."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-e,syndicate,entity,means any partnership or other entity (other than a corporation which is not an S corporation) if more than 35 percent of the losses of such entity during the taxable year are allocable to limited partners or limited entrepreneurs (within the meaning of section 461(k)(4)).
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,lease,concept,includes any grant of a right to use property.
title-26_subtitle-A_chapter-1_subchapter-J_part-I_subpart-A_section-643_subsection-b,income,concept,means the amount of income of the estate or trust for the taxable year determined under
title-26_subtitle-A_chapter-1_subchapter-L_part-II_section-833_subsection-c,small group,entity,"means the lesser of— (i) 15 individuals, or (ii) the number of individuals required for a small group under applicable State law."
title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-B_section-1278_subsection-a,bond,concept,"means any bond, debenture, note, certificate, or other evidence of indebtedness."
title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-c,base year,concept,"means— (I) the calendar year preceding the start-up year, or (II) at the election of the mutual or cooperative electric company, the second or third calendar years preceding the start-up year."
title-26_subtitle-F_chapter-63_subchapter-C_part-II_section-6225_subsection-c,specified partner,entity,"means any person if such person— (i) is a partner of the publicly traded partnership referred to in subparagraph (A), (ii) is described in section 469(a)(2), and (iii) has a specified passive activity loss with respect to such publicly traded partnership, (6) Other procedures for modification of imputed underpayment The Secretary may by regulations or guidance provide for additional procedures to modify imputed underpayment amounts on the basis of such other factors as the Secretary determines are necessary or appropriate to carry out the purposes of this subsection."
title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1222,long-term capital loss,concept,"means loss from the sale or exchange of a capital asset held for more than 1 year, if and to the extent that such loss is taken into account in computing taxable income."
title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-c,eligible worker-owned cooperative,entity,"means any organization— (A) to which part I of subchapter T applies, (B) a majority of the membership of which is composed of employees of such organization, (C) a majority of the voting stock of which is owned by members, (D) a majority of the board of directors of which is elected by the members on the basis of 1 person 1 vote, and (E) a majority of the allocated earnings and losses of which are allocated to members on the basis of— (i) patronage, (ii) capital contributions, or (iii) some combination of clauses (i) and (ii)."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-457A_subsection-d,nonqualified deferred compensation plan,concept,"meaning given such term under section 409A(d), except that such term shall include any plan that provides a right to compensation based on the appreciation in value of a specified number of equity units of the service recipient."
title-26_subtitle-A_chapter-1_subchapter-O_part-IV_section-1059_subsection-d,qualified corporation,entity,"means any corporation (including a predecessor corporation)— (i) with respect to which the taxpayer holds directly or indirectly during the entire period of such corporation's existence at least the same ownership interest as the taxpayer holds in the corporation distributing the extraordinary dividend, and (ii) which has no earnings and profits— (I) which were earned by, or (II) which are attributable to gain on property which accrued during a period the corporation holding the property was, (C) Application of paragraph This paragraph shall not apply to any extraordinary dividend to the extent such application is inconsistent with the purposes of this section."
title-26_subtitle-F_chapter-68_subchapter-A_part-I_section-6655_subsection-d,required annual payment,entity,"means the lesser of— (i) 100 percent of the tax shown on the return for the taxable year (or, if no return is filed, 100 percent of the tax for such year), or (ii) 100 percent of the tax shown on the return of the corporation for the preceding taxable year."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-p,qualified higher education expenses,concept,meaning as when used in section 401(m)(4)(D).
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-274_subsection-b,gift,concept,"means any item excludable from gross income of the recipient under section 102 which is not excludable from his gross income under any other provision of this chapter, but such term does not include— (A) an item having a cost to the taxpayer not in excess of $4."
title-26_subtitle-F_chapter-67_subchapter-C_section-6621_subsection-c,taxable period,entity,"means— (i) in the case of any tax imposed by subtitle A, the taxable year, or (ii) in the case of any other tax, the period to which the underpayment relates."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-954_subsection-h,lending or finance business,entity,"means the business of— (A) making loans, (B) purchasing or discounting accounts receivable, notes, or installment obligations, (C) engaging in leasing (including entering into leases and purchasing, servicing, and disposing of leases and leased assets), (D) issuing letters of credit or providing guarantees, (E) providing charge and credit card services, or (F) rendering services or making facilities available in connection with activities described in subparagraphs (A) through (E) carried on by— (i) the corporation (or qualified business unit) rendering services or making facilities available, or (ii) another corporation (or qualified business unit of a corporation) which is a member of the same affiliated group (as defined in section 1504, but determined without regard to section 1504(b)(3))."
title-26_subtitle-A_chapter-3_subchapter-A_section-1441_subsection-e,nonresident alien individual,entity,includes an alien resident of Puerto Rico.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-n,bank,entity,"means— (1) any bank (as defined in section 581), (2) an insured credit union (within the meaning of paragraph (6) or (7) of section 101 of the Federal Credit Union Act), and (3) a corporation which, under the laws of the State of its incorporation, is subject to supervision and examination by the Commissioner of Banking or other officer of such State in charge of the administration of the banking laws of such State."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-a,energy property,concept,"means any property— (A) which is— (i) equipment which uses solar energy to generate electricity, to heat or cool (or provide hot water for use in) a structure, or to provide solar process heat, excepting property used to generate energy for the purposes of heating a swimming pool, (ii) equipment which uses solar energy to illuminate the inside of a structure using fiber-optic distributed sunlight, or electrochromic glass which uses electricity to change its light transmittance properties in order to heat or cool a structure, but only with respect to property the construction of which begins before January 1, 2025, (iii) equipment used to produce, distribute, or use energy derived from a geothermal deposit (within the meaning of section 613(e)(2)), but only, in the case of electricity generated by geothermal power, up to (but not including) the electrical transmission stage, (iv) qualified fuel cell property or qualified microturbine property, (v) combined heat and power system property, (vi) qualified small wind energy property, (vii) equipment which uses the ground or ground water as a thermal energy source to heat a structure or as a thermal energy sink to cool a structure, but only with respect to property the construction of which begins before January 1, 2035, (viii) waste energy recovery property, (ix) energy storage technology, (x) qualified biogas property, or (xi) microgrid controllers, (B)(i) the construction, reconstruction, or erection of which is completed by the taxpayer, or (ii) which is acquired by the taxpayer if the original use of such property commences with the taxpayer, (C) with respect to which depreciation (or amortization in lieu of depreciation) is allowable, and (D) which meets the performance and quality standards (if any) which— (i) have been prescribed by the Secretary by regulations (after consultation with the Secretary of Energy), and (ii) are in effect at the time of the acquisition of the property."
title-26_subtitle-A_chapter-1_subchapter-J_part-I_subpart-A_section-641_subsection-c,electing small business trust,entity,meaning given such term by section 1361(e)(1).
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-514_subsection-c,qualified organization,entity,means— (i) an organization described in section 170(b)(1)(A)(ii) and its affiliated support organizations described in section 509(a)(3); (ii) any trust which constitutes a qualified trust under section 401; (iii) an organization described in section 501(c)(25); or (iv) a retirement income account described in section 403(b)(9).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-e,church plan,concept,means a plan established and maintained (to the extent required in paragraph (2)(B)) for its employees (or their beneficiaries) by a church or by a convention or association of churches which is exempt from tax under section 501.
title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-864_subsection-e,affiliated group,entity,meaning given such term by section 1504.
title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-250_subsection-b,deemed tangible income return,concept,"means, with respect to any corporation, an amount equal to 10 percent of the corporation's qualified business asset investment (as defined in section 951A(d), determined by substituting ""deduction eligible income"" for ""tested income"" in paragraph (2) thereof and without regard to whether the corporation is a controlled foreign corporation)."
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-514_subsection-b,debt-financed property,entity,"means any property which is held to produce income and with respect to which there is an acquisition indebtedness (as defined in subsection (c)) at any time during the taxable year (or, if the property was disposed of during the taxable year, with respect to which there was an acquisition indebtedness at any time during the 12-month period ending with the date of such disposition), except that such term does not include— (A)(i) any property substantially all the use of which is substantially related (aside from the need of the organization for income or funds) to the exercise or performance by such organization of its charitable, educational, or other purpose or function constituting the basis for its exemption under section 501 (or, in the case of an organization described in section 511(a)(2)(B), to the exercise or performance of any purpose or function designated in section 501(c)(3)), or (ii) any property to which clause (i) does not apply, to the extent that its use is so substantially related; (B) except in the case of income excluded under section 512(b)(5), any property to the extent that the income from such property is taken into account in computing the gross income of any unrelated trade or business; (C) any property to the extent that the income from such property is excluded by reason of the provisions of paragraph (7), (8), or (9) of section 512(b) in computing the gross income of any unrelated trade or business; (D) any property to the extent that it is used in any trade or business described in paragraph (1), (2), or (3) of section 513(a); or (E) any property the gain or loss from the sale, exchange, or other disposition of which would be excluded by reason of the provisions of section 512(b)(19) in computing the gross income of any unrelated trade or business."
title-26_subtitle-A_chapter-1_subchapter-N_part-IV_subpart-A_section-993_subsection-f,gross receipts,concept,"means the total receipts from the sale, lease, or rental of property held primarily for sale, lease, or rental in the ordinary course of trade or business, and gross income from all other sources."
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-e,related person,entity,"means— (i) the taxpayer and members of the taxpayer's family, (ii) any corporation (including an S corporation) if 50 percent or more (in value) of the stock of such corporation is owned (directly or through the application of section 318) by the taxpayer or members of the taxpayer's family, (iii) a corporation and any other corporation which is a member of the same controlled group described in section 1563(a)(1), and (iv) any partnership if 50 percent or more (in value) of the interests in such partnership is owned directly or indirectly by the taxpayer or members of the taxpayer's family."
title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-h,principal campaign committee,entity,means the political committee designated by a candidate for Congress as his principal campaign committee for purposes of— (i) section 302(e) of the Federal Election Campaign Act of 1971 (52 U.
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-279_subsection-c,ratio of debt to equity,concept,means the ratio which the total indebtedness of the issuing corporation bears to the sum of its money and all its other assets (in an amount equal to their adjusted basis for determining gain) less such total indebtedness.
title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6039C_subsection-c,united states real property interest,entity,meaning given to such term by section 897(c).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Z_subsection-a,sustainable aviation fuel,concept,"means liquid fuel, the portion of which is not kerosene, which is sold for use in an aircraft and which— (i) meets the requirements of— (I) ASTM International Standard D7566, or (II) the Fischer Tropsch provisions of ASTM International Standard D1655, Annex A1, and (ii) is not derived from palm fatty acid distillates or petroleum."
title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-146_subsection-g,private activity bond,concept,meaning of section 142(b)(1)).
title-26_subtitle-A_chapter-1_subchapter-G_part-I_section-537_subsection-a,reasonable needs of the business,concept,"includes— (1) the reasonably anticipated needs of the business, (2) the section 303 redemption needs of the business, and (3) the excess business holdings redemption needs of the business."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-k,qualified interest income,concept,means the sum of the following amounts derived by the regulated investment company from sources within the United States: (i) Any amount includible in gross income as original issue discount (within the meaning of section 1273) on an obligation payable 183 days or less from the date of original issue (without regard to the period held by the company).
title-26_subtitle-D_chapter-33_subchapter-C_part-I_section-4261_subsection-e,disqualified lease,concept,"means a lease from a person providing aircraft management services with respect to such aircraft (or a related person (within the meaning of section 465(b)(3)(C)) to the person providing such services), if such lease is for a term of 31 days or less."
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-139D_subsection-c,medical care,concept,meaning as when used in section 213.
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-d,indebtedness of the taxpayer,concept,"means any indebtedness— (A) for which the taxpayer is liable, or (B) subject to which the taxpayer holds property."
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1250_subsection-b,additional depreciation,concept,"means, in the case of any property, the depreciation adjustments in respect of such property; except that, in the case of property held more than one year, it means such adjustments only to the extent that they exceed the amount of the depreciation adjustments which would have resulted if such adjustments had been determined for each taxable year under the straight line method of adjustment."
title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-857_subsection-b,net income from foreclosure property,concept,"means the excess of— (i) gain (including any foreign currency gain, as defined in section 988(b)(1)) from the sale or other disposition of foreclosure property described in section 1221(a)(1) and the gross income for the taxable year derived from foreclosure property (as defined in section 856(e)), but only to the extent such gross income is not described in (or, in the case of foreign currency gain, not attributable to gross income described in) section 856(c)(3) other than subparagraph (F) thereof, over (ii) the deductions allowed by this chapter which are directly connected with the production of the income referred to in clause (i)."
title-26_subtitle-D_chapter-38_subchapter-C_section-4672_subsection-b,importer,entity,"means the person entering the taxable substance for consumption, use, or warehousing."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-m,payment,entity,includes any gross amount which is used in computing any net amount which is transferred to or from the taxpayer.
title-26_subtitle-C_chapter-23_section-3322_subsection-a,rail employer,entity,means any person who is an employer as defined in section 1 of the Railroad Unemployment Insurance Act.
title-26_subtitle-D_chapter-47_section-5000_subsection-b,group health plan,concept,"means a plan (including a self-insured plan) of, or contributed to by, an employer (including a self-employed person) or employee organization to provide health care (directly or otherwise) to the employees, former employees, the employer, others associated or formerly associated with the employer in a business relationship, or their families."
